"","LocID","Location","Covid_JHU_Q2","Covid_JHU_Q3","Covid_JHU_Q4","Covid_JHU_Q1","Covid_WHO_Q1"
"173","IRN","Iran (Islamic Republic of)",11106,26380,55223,62569,2898
"174","IRQ","Iraq",2160,9231,12813,14286,50
"175","ISL","Iceland",10,10,29,29,2
"176","ISR","Israel",324,1622,3325,6193,21
"177","IT01","Piemonte",4096,4165,7922,10269,854
"178","IT02","Valle d'Aosta/Vallee d'Aoste",146,146,379,424,56
"179","IT03","Lombardia",16671,16960,25123,30635,7199
"180","IT05","Veneto",2022,2183,6539,10590,477
"181","IT06","Friuli-Venezia Giulia",345,351,1642,3290,113
"182","IT07","Liguria",1558,1608,2891,3865,428
"183","IT08","Emilia-Romagna",4265,4484,7738,11859,1644
"184","IT09","Toscana",1109,1165,3673,5329,244
"185","IT10","Umbria",80,85,624,1252,37
"186","IT11","Marche",987,990,1571,2611,452
"187","IT12","Lazio",839,923,3769,6606,162
"188","IT13","Abruzzo",464,481,1213,2125,115
"189","IT14","Molise",23,24,191,437,9
"190","IT15","Campania",432,463,2844,5325,133
"191","IT16","Puglia",545,596,2472,4761,110
"192","IT17","Basilicata",27,29,256,441,7
"193","IT18","Calabria",97,100,472,815,36
"194","IT19","Sicilia",282,312,2412,4607,81
"195","IT20","Sardegna",133,155,747,1233,31
"196","IT21","Bolzano (Provincia autonoma di)",292,292,739,1123,76
"197","IT22","Trento (Provincia autonoma di)",405,406,942,1282,164
"198","ITA","Italy",34818,35918,74159,108879,12430
"199","JAM","Jamaica",10,111,302,587,1
"200","JOR","Jordan",9,69,3834,6747,5
"201","JPN","Japan",977,1580,3292,9112,57
"202","KAZ","Kazakhstan",188,1725,2761,3228,2
"203","KEN","Kenya",152,711,1670,2147,1
"204","KGZ","Kyrgyzstan",76,1065,1355,1498,0
"205","KHM","Cambodia",0,0,0,11,0
"206","KNA","Saint Kitts and Nevis",0,0,0,0,0
"207","KOR","Republic of Korea",282,416,917,1731,165
"208","KWT","Kuwait",359,612,934,1308,0
"209","LAO","Lao People's Democratic Republic",0,0,0,0,0
"210","LBN","Lebanon",35,374,1468,6184,12
"211","LBR","Liberia",37,82,83,85,0
"212","LBY","Libya",26,559,1478,2658,0
"213","LCA","Saint Lucia",0,0,5,59,0
"214","LIE","Liechtenstein",1,1,39,56,0
"215","LKA","Sri Lanka",11,13,204,566,2
"216","LSO","Lesotho",0,38,51,315,0
"217","LTU","Lithuania",78,92,1458,3566,7
"218","LUX","Luxembourg",110,125,495,743,23
"219","LVA","Latvia",30,37,635,1893,0
"220","MAC","China, Macao SAR",0,0,0,0,0
"221","MAF","Saint Martin (French part)",3,8,12,12,2
"222","MAR","Morocco",229,2229,7388,8813,36
"223","MCO","Monaco",4,2,3,28,0
"224","MDA","Republic of Moldova",560,1336,2985,4915,3
"225","MDG","Madagascar",24,232,261,403,0
"226","MDV","Maldives",10,34,48,66,0
"227","MEX","Mexico (Country)",29189,78078,125807,202633,28
"228","MKD","North Macedonia",321,743,2503,3749,9
"229","MLI","Mali",117,131,269,384,0
"230","MLT","Malta",9,35,219,390,0
"231","MMR","Myanmar",6,321,2682,3206,1
"232","MNE","Montenegro",12,170,682,1266,2
"233","MNG","Mongolia",0,0,1,6,0
"234","MNP","Northern Marianas",2,2,2,2,0
"235","MOZ","Mozambique",6,62,166,769,0
"236","MRT","Mauritania",129,161,347,449,0
"237","MSR","Montserrat",1,1,1,1,0
"238","MTQ","Martinique",14,21,42,50,2
"239","MUS","Mauritius",10,10,10,10,5
"240","MWI","Malawi",16,179,189,1116,0
"241","MX01","Aguascalientes",154,656,1369,2148,0
"242","MX02","Baja California",2007,3539,5524,7771,0
"243","MX03","Baja California Sur",79,467,775,1268,0
"244","MX04","Campeche",223,827,969,1114,0
"245","MX05","Coahuila",240,1900,4181,5862,0
"246","MX06","Colima",78,573,799,1141,0
"247","MX07","Chiapas",584,1020,1201,1481,0
"248","MX08","Chihuahua",653,1391,4413,5580,0
"249","MX09","Ciudad de Mexico",6750,12164,16754,30457,0
"250","MX10","Durango",149,635,1544,2256,0
"251","MX11","Guanajuato",390,2946,5341,9941,0
"252","MX12","Guerrero",913,1896,2703,4064,0
"253","MX13","Hidalgo",698,1988,3418,5843,0
"254","MX14","Jalisco",762,3317,6030,11321,0
"255","MX15","Mexico (State)",4514,9468,18878,31423,0
"256","MX16","Michoacan",479,1643,2757,5077,0
"257","MX17","Morelos",683,1100,1447,2737,0
"258","MX18","Nayarit",209,741,1050,1735,0
"259","MX19","Nuevo Leon",361,3131,5171,8997,0
"260","MX20","Oaxaca",601,1415,2126,3233,0
"261","MX21","Puebla",1406,4097,5710,10212,0
"262","MX22","Queretaro",296,997,1885,3864,0
"263","MX23","Quintana Roo",605,1652,2028,2496,0
"264","MX24","San Luis Potosi",161,1702,3060,4980,0
"265","MX25","Sinaloa",1356,3196,4230,5707,0
"266","MX26","Sonora",773,2904,4161,6263,0
