LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
PE25,Ucayali,Peru,552.9170258,5.410185138,NA,274,6.497754293,11.54287365,17.08966318,365,5.013410459,8.906025203,13.18570882,14.04601347,60.01791207,65.40986762,62.64813429,-7.046921613,-5.919044159,-6.496737489
PE07,Callao,Peru,1119.096445,7669.772087,NA,274,9.483520833,11.25102649,16.65757237,365,7.323765557,8.688743534,12.86401505,18.66623854,64.02944969,68.997911,66.45308936,-8.289040488,-7.213560032,-7.764415876
PE11,Ica,Peru,954.3642539,44.74736783,NA,274,9.12026101,11.10612015,16.44303301,365,7.049719195,8.58473549,12.71002719,18.58318943,63.37834654,68.52819621,65.89046833,-8.146557411,-7.057430956,-7.615276214
PE17,Madre de Dios,Peru,158.084038,1.853259523,NA,274,5.16552842,10.93271908,16.18630614,365,3.985222087,8.43462856,12.48778818,10.50974605,61.13807369,66.24397908,63.62875925,-7.10642406,-5.960182506,-6.547281838
PE15,Lima,Peru,10693.43489,307.0345139,NA,274,8.917706364,10.11497989,14.97561219,365,6.900308529,7.826730235,11.5877716,19.02929324,64.23520425,69.22528841,66.66939164,-7.594647045,-6.600838829,-7.109862549
PE24,Tumbes,Peru,252.0305573,53.97724605,NA,274,6.411356154,8.966902675,13.27584023,365,4.991458233,6.981037882,10.33569193,15.2108602,63.15367624,68.44028145,65.73250805,-6.315152297,-5.39581416,-5.866694669
PE18,Moquegua,Peru,197.5214462,12.55382121,NA,274,8.099739513,8.774810348,12.99144024,365,6.313238505,6.839413845,10.12601216,19.37714044,63.97727145,69.11360402,66.48279953,-6.659010382,-5.790752708,-6.235470053
PE23,Tacna,Peru,371.146283,23.08713751,NA,274,6.026260238,8.097948326,11.98932029,365,4.677401013,6.285382676,9.305747954,15.16166465,63.65371513,68.69516582,66.11295937,-5.918309725,-5.0890434,-5.513789566
PE20,Piura,Peru,2076.317853,58.22948477,NA,274,6.22714173,7.911710979,11.71358882,365,4.802251247,6.101358467,9.033293118,16.82742837,63.8528434,68.76087934,66.24700727,-5.653752603,-4.881824821,-5.277202466
PER,Peru,Cntry/Terr,32971.846,25.759,5.452,274,6.532420634,7.857830656,11.63381696,365,5.062015636,6.089084564,9.015121137,11.00941717,66.30645235,72.62413102,69.38824682,-7.978713419,-7.033399417,-7.517584638
PE04,Arequipa,Peru,1556.126869,24.5657477,NA,274,6.862067862,7.790513197,11.5341509,365,5.32668651,6.047393058,8.953395279,17.77723199,64.82806968,69.7422901,67.22525037,-6.215691652,-5.381665655,-5.808849702
PE14,Lambayeque,Peru,1340.72463,92.59454942,NA,274,6.609292226,7.545859893,11.17193238,365,5.144233085,5.873195008,8.695488445,17.6185628,64.70102955,69.617489,67.09930246,-6.099611636,-5.284896604,-5.702189669
PE12,Junin,Peru,1393.373182,31.43268443,NA,274,5.755344778,7.293277169,10.79797406,365,4.466140214,5.65957379,8.379214111,17.53199312,62.46507853,67.5648372,64.95276569,-5.115280674,-4.309710966,-4.722319841
PE16,Loreto,Peru,981.1696183,2.660631859,NA,274,4.292991962,6.992944437,10.35332003,365,3.2817975,5.345788618,7.914643238,13.37397306,63.2595139,68.11978694,65.6303788,-4.708123063,-3.91895952,-4.323165237
PE13,La Libertad,Peru,1990.97033,78.07757404,NA,274,5.136520836,6.14861423,9.103257071,365,3.991521059,4.778005184,7.074018283,16.39458715,65.39411051,70.26606729,67.77067479,-5.087930813,-4.395306482,-4.750065286
PE19,Pasco,Peru,284.5809415,11.37148409,NA,274,4.231603039,6.150572411,9.106156233,365,3.274990922,4.760150853,7.047584267,14.7195052,62.91872789,68.03403686,65.41400056,-4.415857528,-3.757578457,-4.094745786
PE02,Ancash,Peru,1216.094852,33.88403182,NA,274,5.608475312,5.906755,8.745175288,365,4.393571759,4.627238334,6.850802231,19.72068619,64.43785892,69.51982199,66.91686529,-4.692092438,-3.981616263,-4.345518694
MX03,Baja California Sur,Mexico,727.0073472,9.814769234,3.820880152,274,2.783308049,4.674215348,6.920353486,365,2.513042003,4.22033756,6.248370168,7.333463488,67.1146714,74.04926985,70.49740235,-5.778115604,-5.083800151,-5.439425139
PE08,Cusco,Peru,1350.177422,18.75598094,NA,274,4.161577968,5.376324051,7.959852107,365,3.209948506,4.146918186,6.139669995,16.5367022,62.90235503,67.74295587,65.26362373,-3.737596112,-3.097564699,-3.425385667
PE22,San Martin,Peru,909.6110642,17.73533424,NA,274,3.302426142,5.014634712,7.424357293,365,2.584621156,3.924669442,5.810622282,13.29809346,63.8497053,68.80661021,66.2677077,-3.652848807,-3.065159374,-3.366171035
PE10,Huanuco,Peru,804.8043386,21.59634266,NA,274,3.636487086,4.872540807,7.213981865,365,2.870262857,3.845874484,5.693963352,15.42109565,63.86884846,68.58517368,66.16949491,-3.725731989,-3.138138167,-3.439100856
PE03,Apurimac,Peru,453.9513999,21.72455956,NA,274,3.938088373,4.376607607,6.479733913,365,3.106059372,3.45192941,5.110712696,19.29177989,63.65742109,68.08933518,65.8193304,-3.163426923,-2.61250392,-2.894683995
MX23,Quintana Roo,Mexico,1497.403063,33.43683334,3.346464712,274,1.724079775,3.746465186,5.546784108,365,1.545342104,3.358064097,4.971741533,5.546608159,67.88803889,74.53189705,71.12894531,-4.755470108,-4.104535954,-4.437941252
PRY,Paraguay,Cntry/Terr,7132.53,17.953,5.476,274,2.602776233,4.054217172,6.002422621,365,2.149167266,3.347652682,4.956327037,7.83118873,67.73295644,72.72607415,70.16862361,-4.594593018,-3.763256106,-4.189062817
BR41,Parana,Brazil,11565.20767,58.02943764,NA,274,3.58472929,3.972685848,5.881712396,365,2.989051384,3.312540828,4.904342603,NA,NA,NA,NA,NA,NA,NA
PE21,Puno,Peru,1316.37493,18.28323907,NA,274,3.749306212,4.257202607,6.302950272,365,2.892792862,3.284662446,4.863067598,17.89456355,63.41541027,68.03610899,65.66940965,-3.14766601,-2.634673308,-2.897425668
PE01,Amazonas,Peru,423.381312,10.78702412,NA,274,3.143229599,4.180114892,6.188818979,365,2.456414515,3.266733965,4.836523802,15.60205089,64.12088525,68.4862058,66.25030991,-3.017218852,-2.408815415,-2.720436688
BR50,Mato Grosso do Sul,Brazil,2810.886048,7.870421945,NA,274,3.424498804,3.795114453,5.618811196,365,2.932883033,3.25029367,4.812183319,NA,NA,NA,NA,NA,NA,NA
BR51,Mato Grosso,Brazil,3524.464271,3.902166609,NA,274,3.442486227,3.81504856,5.648324399,365,2.875614341,3.186827085,4.718218629,NA,NA,NA,NA,NA,NA,NA
BR11,Rondonia,Brazil,1797.625809,7.560507202,NA,274,3.491791381,3.869689753,5.729222763,365,2.871565358,3.182339902,4.711575183,NA,NA,NA,NA,NA,NA,NA
MX22,Queretaro,Mexico,2094.397352,178.9694428,4.356824114,274,2.160621873,3.290270937,4.871371182,365,2.045934596,3.115621119,4.612795489,7.394538926,68.19273133,74.76616593,71.39928479,-4.526803666,-3.878916073,-4.210760938
PE05,Ayacucho,Peru,688.1996898,15.70476332,NA,274,3.325454336,3.946638629,5.843148498,365,2.606801524,3.093743757,4.580405223,17.54528127,64.24564107,69.10157346,66.61438857,-2.880546031,-2.399169825,-2.64572837
PE09,Huancavelica,Peru,387.3863235,17.5088281,NA,274,3.455923173,3.928877375,5.816852287,365,2.684658535,3.052062692,4.518694821,19.0169575,64.03285992,68.29147663,66.11023393,-2.73147793,-2.204701266,-2.474513704
BR33,Rio de Janeiro,Brazil,17463.1277,399.1533089,NA,274,3.097341495,3.432550614,5.082021652,365,2.723853413,3.018641864,4.469214016,NA,NA,NA,NA,NA,NA,NA
MX15,Mexico (State),Mexico,17378.1873,777.5366683,4.499645556,274,1.813339573,2.839182404,4.203517464,365,1.902730096,2.979142952,4.410734376,7.172373899,68.6311155,74.24661248,71.37038232,-4.486018495,-3.56675752,-4.037598507
BR52,Goias,Brazil,7098.917858,20.86669134,NA,274,3.131514607,3.470422103,5.138091831,365,2.644064965,2.930218329,4.338299611,NA,NA,NA,NA,NA,NA,NA
BR43,Rio Grande do Sul,Brazil,11507.83861,40.85035953,NA,274,3.008301757,3.333874569,4.935928017,365,2.610829108,2.893385528,4.283767249,NA,NA,NA,NA,NA,NA,NA
PE06,Cajamarca,Peru,1500.006301,45.03939131,NA,274,3.109147524,3.630551833,5.375169984,365,2.426656474,2.833606975,4.195262829,16.5909678,66.00315759,70.53827978,68.21541232,-2.869645197,-2.424450736,-2.652477167
MX09,Ciudad de Mexico,Mexico,10298.92046,6888.846188,6.225906895,274,2.869007736,3.113474819,4.60961781,365,2.599398655,2.820892449,4.17643849,9.483023274,69.2490518,75.79178931,72.44063107,-4.296362203,-3.691683686,-4.001397072
MX02,Baja California,Mexico,3605.789312,50.51421603,4.88103275,274,1.428618029,2.404066274,3.559311496,365,1.622945628,2.731079106,4.043466422,6.42064666,68.88714629,75.62685679,72.17480995,-4.06656471,-3.548741214,-3.813967883
BR35,Sao Paulo,Brazil,46446.15489,187.1172831,NA,274,2.956798391,3.276797263,4.851422895,365,2.454584244,2.720231097,4.027405533,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,3049.880335,529.4211456,NA,274,2.710199668,3.003510445,4.446811375,365,2.356813779,2.611879445,3.866986793,NA,NA,NA,NA,NA,NA,NA
