LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
WWW,World,World,"7,794,798.729",59.9,7.55,365,0.46,0.54,0.78,365,0.46,0.54,0.78,8.21,69.5,74.4,71.9,-0.83,-0.72,-0.78
AFG,Afghanistan,Cntry/Terr,"38,928.341",59.6,6.52,365,0.13,0.46,0.66,365,0.13,0.46,0.66,6.39,63.2,66.4,64.7,-0.45,-0.33,-0.39
ALB,Albania,Cntry/Terr,"2,877.800",105.0,7.82,365,0.71,0.56,0.81,365,0.71,0.56,0.81,9.18,76.1,79.5,77.8,-1.04,-0.75,-0.90
DZA,Algeria,Cntry/Terr,"43,851.043",18.4,4.72,365,0.08,0.12,0.17,365,0.08,0.12,0.17,4.94,75.6,78.1,76.8,-0.24,-0.17,-0.21
AND,Andorra,Cntry/Terr,77.265,164.4,NA,365,0.72,NA,1.48,365,0.72,1.02,1.48,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,Cntry/Terr,"32,866.268",26.4,8.33,365,0.04,0.16,0.23,365,0.04,0.16,0.23,7.90,58.5,64.2,61.3,-0.13,-0.11,-0.12
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.6,6.34,365,1.16,1.30,1.88,365,1.16,1.30,1.88,7.78,73.7,76.7,75.2,-2.29,-1.53,-1.92
ARG,Argentina,Cntry/Terr,"45,195.777",16.5,7.61,365,1.64,1.63,2.36,365,1.64,1.63,2.36,9.37,71.0,77.8,74.3,-2.43,-2.35,-2.39
ARM,Armenia,Cntry/Terr,"2,963.234",104.1,9.91,365,1.74,1.64,2.37,365,1.74,1.64,2.37,11.27,69.4,76.7,72.9,-2.08,-1.91,-2.00
ABW,Aruba,Cntry/Terr,106.766,593.1,8.97,365,1.24,1.02,1.48,365,1.24,1.02,1.48,10.80,72.4,77.5,74.9,-1.49,-1.31,-1.40
AUS,Australia,Cntry/Terr,"25,499.881",3.3,6.60,365,0.05,0.04,0.05,365,0.05,0.04,0.05,6.92,81.5,85.4,83.4,-0.10,-0.08,-0.09
AUT,Austria,Cntry/Terr,"9,006.400",109.3,9.87,365,0.83,0.48,0.69,365,0.83,0.48,0.69,10.82,78.3,83.1,80.7,-1.04,-0.86,-0.96
AZE,Azerbaijan,Cntry/Terr,"10,139.175",122.7,6.75,365,0.56,0.79,1.14,365,0.56,0.79,1.14,7.46,69.5,74.8,72.1,-0.99,-0.81,-0.90
BHS,Bahamas,Cntry/Terr,393.248,39.3,6.71,365,1.39,1.81,2.61,365,1.39,1.81,2.61,8.50,69.3,74.3,71.7,-2.43,-1.92,-2.18
BHR,Bahrain,Cntry/Terr,"1,701.583","2,238.9",2.38,365,0.61,1.34,1.94,365,0.61,1.34,1.94,3.08,74.4,77.0,75.7,-2.17,-1.55,-1.87
BGD,Bangladesh,Cntry/Terr,"164,689.383","1,265.2",5.55,365,0.12,0.21,0.31,365,0.12,0.21,0.31,5.76,70.8,74.6,72.6,-0.32,-0.27,-0.29
BRB,Barbados,Cntry/Terr,287.371,668.3,8.98,365,0.88,0.58,0.84,365,0.88,0.58,0.84,10.10,76.6,79.6,78.1,-1.39,-0.98,-1.19
BLR,Belarus,Cntry/Terr,"9,449.321",46.6,12.55,365,0.44,0.33,0.48,365,0.44,0.33,0.48,13.11,69.3,79.2,74.1,-0.38,-0.44,-0.41
BEL,Belgium,Cntry/Terr,"11,589.616",382.7,9.79,365,0.76,0.44,0.63,365,0.76,0.44,0.63,10.72,78.5,83.2,80.8,-0.97,-0.82,-0.90
BLZ,Belize,Cntry/Terr,397.621,17.4,4.70,365,0.88,1.58,2.28,365,0.88,1.58,2.28,5.83,69.2,75.7,72.4,-2.59,-2.21,-2.40
BEN,Benin,Cntry/Terr,"12,123.198",107.5,8.96,365,0.01,0.03,0.04,365,0.01,0.03,0.04,8.61,60.5,63.6,62.0,-0.03,-0.02,-0.02
BMU,Bermuda,Cntry/Terr,62.273,"1,245.5",NA,365,1.61,NA,1.48,365,1.61,1.02,1.48,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,365,0.90,1.25,1.80,365,0.90,1.25,1.80,7.86,66.8,72.8,69.7,-2.11,-1.86,-1.99
BIH,Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,10.61,365,2.86,1.99,2.88,365,2.86,1.99,2.88,14.01,72.1,77.5,74.7,-2.94,-2.48,-2.72
BWA,Botswana,Cntry/Terr,"2,351.625",4.1,5.80,365,1.02,2.34,3.38,365,1.02,2.34,3.38,6.97,63.9,70.1,66.9,-2.43,-2.17,-2.31
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.42,365,2.00,2.22,3.21,365,2.00,2.22,3.21,8.80,69.0,76.4,72.6,-3.48,-3.32,-3.40
BR12,Acre,Brazil,892.059,5.4,NA,365,1.18,1.32,1.91,365,1.18,1.32,1.91,NA,NA,NA,NA,NA,NA,NA
BR27,Alagoas,Brazil,"3,375.667",121.2,NA,365,1.15,1.28,1.86,365,1.15,1.28,1.86,NA,NA,NA,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,365,1.28,1.43,2.06,365,1.28,1.43,2.06,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas,Brazil,"4,192.173",2.7,NA,365,2.04,2.27,3.28,365,2.04,2.27,3.28,NA,NA,NA,NA,NA,NA,NA
BR29,Bahia,Brazil,"15,043.792",26.6,NA,365,1.22,1.36,1.97,365,1.22,1.36,1.97,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,365,1.60,1.78,2.58,365,1.60,1.78,2.58,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,365,2.25,2.50,3.61,365,2.25,2.50,3.61,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,365,2.03,2.26,3.27,365,2.03,2.26,3.27,NA,NA,NA,NA,NA,NA,NA
BR52,Goias,Brazil,"7,098.918",20.9,NA,365,2.52,2.80,4.05,365,2.52,2.80,4.05,NA,NA,NA,NA,NA,NA,NA
BR21,Maranhao,Brazil,"7,156.397",21.7,NA,365,0.82,0.91,1.32,365,0.82,0.91,1.32,NA,NA,NA,NA,NA,NA,NA
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,365,2.72,3.03,4.38,365,2.72,3.03,4.38,NA,NA,NA,NA,NA,NA,NA
BR50,Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,365,2.63,2.93,4.24,365,2.63,2.93,4.24,NA,NA,NA,NA,NA,NA,NA
BR31,Minas Gerais,Brazil,"21,411.788",36.5,NA,365,2.09,2.33,3.36,365,2.09,2.33,3.36,NA,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,"8,701.617",7.0,NA,365,1.14,1.27,1.83,365,1.14,1.27,1.83,NA,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,365,1.46,1.62,2.35,365,1.46,1.62,2.35,NA,NA,NA,NA,NA,NA,NA
BR41,Parana,Brazil,"11,565.208",58.0,NA,365,2.85,3.17,4.58,365,2.85,3.17,4.58,NA,NA,NA,NA,NA,NA,NA
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,365,1.12,1.24,1.80,365,1.12,1.24,1.80,NA,NA,NA,NA,NA,NA,NA
