LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
PE11,Ica,Peru,954.3642539,44.74736783,NA,335,7.722136818,9.005208124,13.70671495,365,7.15450099,8.34325679,12.69916708,18.7519972,63.03243781,68.21281972,65.55945338,-8.492466142,-7.372807443,-7.946291167
PE07,Callao,Peru,1119.096445,7669.772087,NA,335,7.842347567,8.89097851,13.53284748,365,7.259427938,8.23011442,12.52695449,18.66440067,63.83339206,68.81435397,66.26312958,-8.485098119,-7.397117068,-7.954375655
PE25,Ucayali,Peru,552.9170258,5.410185138,NA,335,5.233788455,8.775934136,13.35773987,365,4.845211623,8.124374617,12.36600926,13.91513223,60.0283291,65.39468411,62.64606325,-7.036504587,-5.934227662,-6.498808526
PE17,Madre de Dios,Peru,158.084038,1.853259523,NA,335,4.245616366,8.370569362,12.74073921,365,3.921964593,7.732464226,11.76948734,10.46929375,61.13054543,66.2168367,63.61166312,-7.113952316,-5.987324893,-6.564377963
PE15,Lima,Peru,10693.43489,307.0345139,NA,335,7.344830119,7.975908821,12.14003132,365,6.797535191,7.3815895,11.2354253,18.98694123,64.0824283,69.08292969,66.52169727,-7.747422996,-6.743197548,-7.257556924
PE24,Tumbes,Peru,252.0305573,53.97724605,NA,335,5.343346386,7.10370819,10.81246562,365,4.955748278,6.588416151,10.02814604,15.21627024,63.01619135,68.30719604,65.59716925,-6.452637186,-5.528899562,-6.002033467
PE18,Moquegua,Peru,197.5214462,12.55382121,NA,335,6.702087269,6.949986484,10.57848773,365,6.25754835,6.4890048,9.876833261,19.3782914,63.81461554,68.96438548,66.32669843,-6.821666297,-5.939971252,-6.391571153
PE23,Tacna,Peru,371.146283,23.08713751,NA,335,4.970040183,6.336267294,9.644353409,365,4.601959061,5.867003407,8.9300927,15.12300475,63.58200369,68.62596232,66.04247131,-5.99002117,-5.158246897,-5.584277622
PE20,Piura,Peru,2076.317853,58.22948477,NA,335,5.184026401,6.298907175,9.587488038,365,4.809957197,5.844390355,8.895673655,16.87966829,63.66149008,68.58764899,66.06449443,-5.845105921,-5.055055167,-5.459715309
PER,Peru,Cntry/Terr,32971.846,25.759,5.452,335,5.402713358,6.219808605,9.467093091,365,5.007302291,5.764596381,8.774220243,10.97520606,66.19319971,72.50651214,69.27286431,-8.091966057,-7.151018291,-7.632967147
PE04,Arequipa,Peru,1556.126869,24.5657477,NA,335,5.655967493,6.154163202,9.367175041,365,5.248286733,5.710572616,8.691991344,17.74660705,64.70871172,69.6362166,67.11237263,-6.335049614,-5.487739158,-5.92172744
PE14,Lambayeque,Peru,1340.72463,92.59454942,NA,335,5.44156617,5.960921391,9.073044091,365,5.05099992,5.533078626,8.421829956,17.57159852,64.59716225,69.52561366,67.00128489,-6.203478942,-5.376771951,-5.800207239
PE12,Junin,Peru,1393.373182,31.43268443,NA,335,4.758183565,5.769011204,8.78093999,365,4.408007905,5.344444292,8.134711989,17.51568561,62.35457036,67.45971707,64.84488583,-5.22578884,-4.414831101,-4.830199699
PE16,Loreto,Peru,981.1696183,2.660631859,NA,335,3.621218783,5.598564122,8.521504613,365,3.341929814,5.166771045,7.864277757,13.4626897,63.0561169,67.9362968,65.43669246,-4.911520069,-4.102449653,-4.516851573
PE13,La Libertad,Peru,1990.97033,78.07757404,NA,335,4.272356147,4.902143884,7.461492055,365,3.971430352,4.556858638,6.935937689,16.41116783,65.26046976,70.15123062,67.64620677,-5.221571561,-4.51014315,-4.874533312
PE19,Pasco,Peru,284.5809415,11.37148409,NA,335,3.484044055,4.81041687,7.321875512,365,3.236337596,4.468408758,6.801309231,14.7092562,62.84776389,67.96717028,65.3450353,-4.486821531,-3.824445038,-4.163711047
PE02,Ancash,Peru,1216.094852,33.88403182,NA,335,4.6562182,4.717180924,7.179962242,365,4.345055807,4.401944558,6.7001449,19.71592503,64.31969288,69.41505898,66.80523732,-4.810258477,-4.086379271,-4.45714667
PE08,Cusco,Peru,1350.177422,18.75598094,NA,335,3.444146583,4.246338256,6.46329849,365,3.189210491,3.932023853,5.984884457,16.54603064,62.80654162,67.6540947,65.17120166,-3.83340952,-3.186425866,-3.517807738
MX03,Baja California Sur,Mexico,727.0073472,9.814769234,3.820880152,335,2.418871446,3.835649122,5.838193683,365,2.358985788,3.740687328,5.69365352,7.187633828,67.34166521,74.24533417,70.70930861,-5.551121787,-4.88773583,-5.227518881
PE10,Huanuco,Peru,804.8043386,21.59634266,NA,335,2.983797452,3.818363187,5.811882976,365,2.787012809,3.566538039,5.428583059,15.36391342,63.85279018,68.56784081,66.15281488,-3.741790271,-3.155471032,-3.455780886
PE22,San Martin,Peru,909.6110642,17.73533424,NA,335,2.666352004,3.840397598,5.845421278,365,2.475783429,3.565918049,5.42763938,13.21046438,63.89317093,68.83738391,66.30498214,-3.609383184,-3.034385668,-3.32889659
PE03,Apurimac,Peru,453.9513999,21.72455956,NA,335,3.257005901,3.483639185,5.302403748,365,3.035567244,3.246792092,4.941901742,19.25372149,63.59996322,68.03644657,65.76410144,-3.220884792,-2.665392526,-2.949912955
PE21,Puno,Peru,1316.37493,18.28323907,NA,335,3.151021247,3.428501358,5.218479149,365,2.914823059,3.171503469,4.827305868,17.94497276,63.28978106,67.92736758,65.55201839,-3.273295222,-2.743414716,-3.014816927
BR41,Parana,Brazil,11565.20767,58.02943764,NA,335,3.092332079,3.279769282,4.992095912,365,2.981701754,3.162433261,4.813500218,NA,NA,NA,NA,NA,NA,NA
PE01,Amazonas,Peru,423.381312,10.78702412,NA,335,2.612055589,3.322163478,5.056623589,365,2.423347396,3.082153476,4.691307359,15.59325507,64.05663297,68.42595546,66.1880098,-3.08147113,-2.469065758,-2.782736802
PRY,Paraguay,Cntry/Terr,7132.53,17.953,5.476,335,2.170693613,3.223944683,4.907125985,365,2.0576149,3.055998587,4.651497329,7.748232127,67.81619922,72.78521641,70.24011004,-4.511350238,-3.704113845,-4.117576388
BR11,Rondonia,Brazil,1797.625809,7.560507202,NA,335,2.923250445,3.100439012,4.719139544,365,2.811486113,2.981900248,4.53871317,NA,NA,NA,NA,NA,NA,NA
BR50,Mato Grosso do Sul,Brazil,2810.886048,7.870421945,NA,335,2.850936174,3.023741516,4.602399243,365,2.8033865,2.973309687,4.525637586,NA,NA,NA,NA,NA,NA,NA
PE05,Ayacucho,Peru,688.1996898,15.70476332,NA,335,2.786417908,3.177911051,4.837058769,365,2.587911657,2.95151457,4.492463509,17.55348119,64.15683875,69.02211451,66.530144,-2.969348351,-2.478628767,-2.729972944
PE09,Huancavelica,Peru,387.3863235,17.5088281,NA,335,2.882887126,3.150629932,4.795534518,365,2.682077133,2.931170083,4.461497419,19.04296367,63.92694623,68.19815029,66.0104604,-2.837391618,-2.298027613,-2.574287225
BR51,Mato Grosso,Brazil,3524.464271,3.902166609,NA,335,2.873145457,3.047296982,4.638252724,365,2.735451195,2.901256583,4.415966454,NA,NA,NA,NA,NA,NA,NA
MX23,Quintana Roo,Mexico,1497.403063,33.43683334,3.346464712,335,1.487271418,3.020722561,4.597804129,365,1.416452292,2.876885378,4.378871347,5.422095262,68.21590791,74.81445287,71.43471033,-4.427601094,-3.821980131,-4.132176234
MX22,Queretaro,Mexico,2094.397352,178.9694428,4.356824114,335,1.932105677,2.80170601,4.264441769,365,1.972405091,2.860143346,4.35338851,7.329017118,68.26313008,74.82091781,71.46205092,-4.456404922,-3.82416419,-4.147994809
BR33,Rio de Janeiro,Brazil,17463.1277,399.1533089,NA,335,2.715968142,2.880592594,4.384514054,365,2.643856289,2.804109785,4.268100525,NA,NA,NA,NA,NA,NA,NA
BR52,Goias,Brazil,7098.917858,20.86669134,NA,335,2.718156561,2.88291366,4.38804692,365,2.551656515,2.706321457,4.11925813,NA,NA,NA,NA,NA,NA,NA
