LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,1497.403063,33.43683334,3.346464712,90,1.267527793,2.69927253,4.470041112,365,1.666885865,3.549728259,5.87841023,5.648963746,67.64150779,74.33600873,70.90711801,-5.00200121,-4.300424268,-4.659768555
MX02,Baja California,Mexico,3605.789312,50.51421603,4.88103275,90,2.52727837,4.076378953,6.750552715,365,2.155145331,3.476146187,5.75655707,6.925955618,67.96874371,74.82432063,71.31292757,-4.984967293,-4.351277368,-4.675850256
MX09,Ciudad de Mexico,Mexico,10298.92046,6888.846188,6.225906895,90,5.396029416,5.425888338,8.985363156,365,2.957300244,2.973664461,4.924438806,9.796405715,69.00987636,75.59226159,72.22079599,-4.535537638,-3.891211406,-4.221232159
BR13,Amazonas (BR),Brazil,4192.172931,2.688724518,NA,90,6.493264791,6.682864174,11.06693647,365,2.861761716,2.945323418,4.877505557,NA,NA,NA,NA,NA,NA,NA
PE11,Ica,Peru,954.3642539,44.74736783,NA,90,2.702671776,3.052799946,5.055488511,365,2.54514981,2.874871182,4.760835459,14.0087942,68.13093888,72.60600174,70.31389637,-3.393965072,-2.979625421,-3.191848169
MX03,Baja California Sur,Mexico,727.0073472,9.814769234,3.820880152,90,2.75016325,4.418268691,7.316727924,365,1.744136431,2.802038529,4.64022335,6.542222636,68.68496064,75.46167455,71.99067475,-4.207826357,-3.671395446,-3.946152742
PE07,Callao,Peru,1119.096445,7669.772087,NA,90,2.775949802,3.072124544,5.087490374,365,2.451978122,2.713587315,4.493746639,13.73078808,69.06552012,73.32540692,71.14351368,-3.252970063,-2.886064113,-3.073991551
MX15,Mexico (State),Mexico,17378.1873,777.5366683,4.499645556,90,2.927632414,4.356601615,7.214606199,365,1.808186288,2.690756963,4.455939189,7.053833651,68.93641187,74.52129113,71.66074322,-4.180722132,-3.292078866,-3.747237612
MX26,Sonora,Mexico,3077.473585,17.10683613,5.602295604,90,2.770057172,3.606169829,5.971878427,365,2.035110888,2.649387729,4.387431035,7.920907881,68.48379636,75.1983192,71.75917335,-3.905047643,-3.379068802,-3.648472599
MX22,Queretaro,Mexico,2094.397352,178.9694428,4.356824114,90,3.832102077,5.468726517,9.056303908,365,1.844922118,2.632856408,4.360054887,7.166488487,68.73000244,75.24485561,71.90797959,-3.989532562,-3.400226395,-3.702066139
PE17,Madre de Dios,Peru,158.084038,1.853259523,NA,90,1.000522688,2.100849576,3.479042546,365,1.227195373,2.576806013,4.267234482,7.729180435,65.58893185,69.9852632,67.73348373,-2.655565896,-2.218898383,-2.442557353
PE24,Tumbes,Peru,252.0305573,53.97724605,NA,90,2.156264107,2.847932286,4.71622419,365,1.904530963,2.515450311,4.165628399,12.07417078,66.79470499,71.5436916,69.11128383,-2.674123548,-2.292404006,-2.487918893
MX05,Coahuila de Zaragoza,Mexico,3150.456468,20.74787105,5.309652084,90,2.163936864,2.899697183,4.801947738,365,1.860682748,2.493333616,4.129002775,7.498122321,68.93412811,75.60098129,72.18625161,-3.766947893,-3.259214714,-3.519273171
