LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2022,CCDR_2022,CCMR_2022,ISCDR_2022,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
BR12,Acre,Brazil,892.0587535,5.435274239,NA,33,0.322373113,0.374392035,0.517556089,365,1.140059437,1.324022243,1.830316112,NA,NA,NA,NA,NA,NA,NA
BR27,Alagoas,Brazil,3375.666603,121.2380432,NA,33,0.206423875,0.239732942,0.331404603,365,1.104078228,1.282235017,1.772549837,NA,NA,NA,NA,NA,NA,NA
BR16,Amapa,Brazil,855.4391669,6.004313832,NA,33,0.413751682,0.480515675,0.664260428,365,1.174835148,1.364409448,1.886147011,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas,Brazil,4192.172931,2.688724518,NA,33,0.337714498,0.392208943,0.542186018,365,1.500176664,1.742248875,2.408468742,NA,NA,NA,NA,NA,NA,NA
BR29,Bahia,Brazil,15043.79227,26.6374759,NA,33,0.352909081,0.409855362,0.566580265,365,1.196107981,1.389114919,1.920299626,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,9236.905347,62.03660315,NA,33,0.638233565,0.741220509,1.024656382,365,1.613094369,1.87338726,2.589753233,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,3049.880335,529.4211456,NA,33,0.28649907,0.332729267,0.459961864,365,2.185987405,2.538723731,3.509508222,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,4064.780182,88.22200692,NA,33,0.63945461,0.742638585,1.026616716,365,1.911050451,2.219422271,3.068108835,NA,NA,NA,NA,NA,NA,NA
BR52,Goias,Brazil,7098.917858,20.86669134,NA,33,0.579601784,0.673127759,0.930525593,365,2.494182966,2.896650489,4.004302865,NA,NA,NA,NA,NA,NA,NA
BR21,Maranhao,Brazil,7156.397176,21.70959169,NA,33,0.183921055,0.213599011,0.295277299,365,0.814096794,0.945461463,1.306997189,NA,NA,NA,NA,NA,NA,NA
BR51,Mato Grosso,Brazil,3524.464271,3.902166609,NA,33,0.850462372,0.98769508,1.36538055,365,2.648062027,3.075359855,4.25134904,NA,NA,NA,NA,NA,NA,NA
BR50,Mato Grosso do Sul,Brazil,2810.886048,7.870421945,NA,33,0.665001139,0.772307365,1.067630564,365,2.499923469,2.903317293,4.013518993,NA,NA,NA,NA,NA,NA,NA
BR31,Minas Gerais,Brazil,21411.78807,36.50642275,NA,33,0.349198753,0.405546326,0.560623493,365,1.991052772,2.312333965,3.196549102,NA,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,8701.617498,6.984365885,NA,33,0.348280772,0.404480218,0.559149714,365,1.126112473,1.307824763,1.807924865,NA,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,4064.251178,71.97537961,NA,33,0.351065453,0.407714242,0.5636204,365,1.401980279,1.628207279,2.250818694,NA,NA,NA,NA,NA,NA,NA
BR41,Parana,Brazil,11565.20767,58.02943764,NA,33,0.376809385,0.437612278,0.604951168,365,2.715212808,3.153346252,4.359156715,NA,NA,NA,NA,NA,NA,NA
BR26,Pernambuco,Brazil,9666.776852,98.57230271,NA,33,0.250577081,0.291010818,0.402290665,365,1.073780864,1.247048796,1.72390873,NA,NA,NA,NA,NA,NA,NA
BR22,Piaui,Brazil,3310.800453,13.15080348,NA,33,0.410914087,0.477220199,0.659704792,365,1.316600037,1.529049871,2.113744409,NA,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,17463.1277,399.1533089,NA,33,0.293249909,0.340569438,0.470800044,365,2.319458501,2.693732052,3.723790293,NA,NA,NA,NA,NA,NA,NA
BR24,Rio Grande do Norte,Brazil,3547.108252,67.16786564,NA,33,0.523858221,0.608389277,0.841031714,365,1.261872963,1.465491901,2.025882459,NA,NA,NA,NA,NA,NA,NA
BR43,Rio Grande do Sul,Brazil,11507.83861,40.85035953,NA,33,0.482490625,0.560346504,0.774617828,365,2.292002947,2.661846203,3.67971159,NA,NA,NA,NA,NA,NA,NA
BR11,Rondonia,Brazil,1797.625809,7.560507202,NA,33,0.633748369,0.736011571,1.017455593,365,2.58396379,3.000918569,4.148442094,NA,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.7145454,2.739680481,NA,33,0.324932565,0.377364487,0.521665179,365,2.044997968,2.37498389,3.283155779,NA,NA,NA,NA,NA,NA,NA
BR42,Santa Catarina,Brazil,7247.032777,75.7022981,NA,33,0.680696563,0.790535441,1.092828888,365,1.982190566,2.30204173,3.182321212,NA,NA,NA,NA,NA,NA,NA
BR35,Sao Paulo,Brazil,46446.15489,187.1172831,NA,33,0.708223157,0.822503794,1.137021643,365,2.275301373,2.642449622,3.652897935,NA,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,2325.082788,106.0450547,NA,33,0.218825704,0.25413596,0.351315203,365,1.437798266,1.669804945,2.308322923,NA,NA,NA,NA,NA,NA,NA
BR17,Tocantins,Brazil,1590.920967,5.733735278,NA,33,0.451901388,0.524821312,0.725508132,365,1.65815905,1.925723689,2.66210263,NA,NA,NA,NA,NA,NA,NA
VGB,British Virgin Islands,Cntry/Terr,30.237,201.58,NA,33,3.657970718,NA,1.482406555,365,1.587459073,1.082632681,1.496621412,NA,NA,NA,NA,NA,NA,NA
BRN,Brunei Darussalam,Cntry/Terr,437.483,83.014,4.403,33,0,0,0,365,0.217151295,0.357832947,0.494664959,4.968549173,74.24471695,76.85197772,75.51655147,-0.604454008,-0.402460208,-0.505920447
BGR,Bulgaria,Cntry/Terr,6948.445,64.006,15.382,33,4.003402811,2.489996019,3.442147483,365,3.516182398,2.186959591,3.023232726,18.96102031,69.14993027,76.41342746,72.69309963,-2.54258181,-2.353911245,-2.450547388
BFA,Burkina Faso,Cntry/Terr,20903.278,76.401,8.274,33,0.028044028,0.10864242,0.150186278,365,0.012007686,0.046517713,0.064305657,7.786191531,61.03587165,62.64951321,61.82301387,-0.039064293,-0.026154372,-0.032766771
BDI,Burundi,Cntry/Terr,11890.781,463.037,8.042,33,0,0,0,365,0.003027556,0.011820967,0.016341196,7.666181691,60.01502447,63.66372552,61.79487864,-0.010348832,-0.007680849,-0.009047377
CPV,Cabo Verde,Cntry/Terr,555.988,137.962,5.642,33,0.875318652,1.661357369,2.296645072,365,0.476628992,0.904643225,1.250570433,6.100437887,68.66046627,75.4481995,71.97155565,-1.023788031,-0.92124176,-0.97376546
CMR,Cameroon,Cntry/Terr,26545.864,56.157,9.355,33,0.012083147,0.042216467,0.058359654,365,0.053416984,0.186629888,0.257995432,9.006699202,58.1148832,60.73324121,59.39213101,-0.139128962,-0.097517896,-0.118830881
CAN,Canada,Cntry/Terr,37742.157,4.15,7.712,33,1.085483399,0.715585599,0.989218919,365,0.380820842,0.251049358,0.347048312,8.415581693,80.06504421,84.00515017,81.98704712,-0.581321175,-0.484757419,-0.534216904
CYM,Cayman Islands,Cntry/Terr,65.72,273.833,NA,33,0.673195743,NA,1.482406555,365,0.197808886,1.082632681,1.496621412,NA,NA,NA,NA,NA,NA,NA
CAF,Central African Republic,Cntry/Terr,4829.764,7.753,12.388,33,0.020610832,0.073519023,0.101632018,365,0.009731324,0.034711721,0.047985163,11.82144257,51.30182313,55.69812815,53.44636216,-0.018616728,-0.015415455,-0.017055131
TCD,Chad,Cntry/Terr,16425.859,13.045,12.241,33,0.006060289,0.023582564,0.032600318,365,0.004383332,0.017056978,0.023579408,11.7259289,53.05382526,55.91358551,54.44883026,-0.011965216,-0.008586886,-0.01031725
CHI,Channel Islands,Cntry/Terr,173.859,915.047,7.808,33,1.272365084,0.82101542,1.134964129,365,0.310596518,0.200417737,0.277055627,8.374972357,80.86476207,84.62521122,82.6991275,-0.465713645,-0.396923414,-0.432157435
