"","LocID","Location","Time","PopM.0","PopM.1-4","PopM.5-14","PopM.15-24","PopM.25-34","PopM.35-44","PopM.45-54","PopM.55-64","PopM.65-74","PopM.75-84","PopM.85+","PopF.0","PopF.1-4","PopF.5-14","PopF.15-24","PopF.25-34","PopF.35-44","PopF.45-54","PopF.55-64","PopF.65-74","PopF.75-84","PopF.85+"
"25","MMR","Myanmar","2020",471.041,1805.539,4704.343,4907.166,4182.361,3727.12,3035.847,2023.113,1010.947,309.585,43.128,460.738,1771.238,4653.762,4923.089,4349.446,3978.127,3475.486,2548.336,1434.735,501.65,92.997
"120","MNE","Montenegro","2020",3.966,15.159,39.9,41.984,44.168,44.324,38.697,40.083,28.163,11.208,2.911,3.673,14.108,36.526,38.432,41.321,44.337,40.494,41.848,33.562,17.85,5.348
"118","MNG","Mongolia","2020",35.562,154.659,325.628,225.199,290.737,238.472,177.694,108.994,41.31,14.573,2.211,34.591,150.648,318.228,221.902,290.179,239.261,190.857,134.31,55.067,22.929,5.281
"122","MOZ","Mozambique","2020",545.921,2044.929,4314.222,3199.587,2130.916,1380.361,773.437,462.624,249.138,79.367,7.733,540.473,2025.305,4301.168,3254.192,2212.651,1534.447,1010.773,629.953,381.714,155.972,20.552
"115","MRT","Mauritania","2020",72.685,278.62,586.216,449.113,357.589,262.372,166.858,98.38,45.952,15.076,2.12,69.89,268.679,569.132,437.175,348.487,257.721,170.817,108.163,57.756,23.179,3.68
"114","MTQ","Martinique","2020",2.202,7.147,20.826,24.753,16.083,15.075,24.146,27.849,19.543,10.767,4.216,2.138,6.866,19.573,23.965,17.822,20.846,31.75,32.801,24.181,14.582,8.134
"116","MUS","Mauritius","2020",6.588,26.062,76.134,95.678,95.903,93.718,84.032,80.487,49.14,16.153,3.585,6.329,25.069,73.28,93.021,95.234,92.303,83.84,84.863,58.289,23.913,8.146
"109","MWI","Malawi","2020",306.548,1170.465,2668.25,2001.956,1386.416,876.281,531.257,291.223,149.311,47.882,4.448,300.794,1146.136,2632.168,2012.972,1444.814,924.1,580.012,351.232,206.081,86.397,11.212
"110","MYS","Malaysia","2020",273.984,1082.496,2549.638,2850.357,3006.263,2542.074,1814.695,1379.842,774.142,284.094,73.228,258.901,1019.73,2404.466,2682.443,2830.694,2275.196,1754.615,1315.537,811.286,312.767,69.55
"40","MYT","Mayotte","2020",3.779,14.519,35.657,27.584,16.45,14.043,10.768,5.969,3.432,1.551,0.407,3.672,14.108,34.671,26.932,19.438,16.788,10.789,6.275,3.589,1.769,0.623
"124","NAM","Namibia","2020",33.639,134.702,299.679,242.432,208.207,140.778,88.296,50.63,22.966,9.116,1.238,33.412,134.325,300.347,246.735,217.579,149.411,100.999,68.627,37.384,17.084,3.33
"129","NCL","New Caledonia","2020",1.907,8.217,22.122,22.842,20.99,20.274,19.663,14.407,8.944,3.618,0.514,1.822,7.852,21.201,21.903,19.65,20.146,19.678,15.132,9.113,4.419,1.077
"133","NER","Niger","2020",525.58,1914.793,3678.102,2402.92,1455.836,850.959,599.158,435.429,236.533,65.44,5.415,503.943,1843.158,3558.34,2319.177,1440.567,980.173,652.861,417.215,230.726,82.793,7.518
"134","NGA","Nigeria","2020",3635.489,13741.977,28447.016,20321.764,14274.582,10531.119,6755.317,4094.904,2048.775,580.432,38.262,3458.451,13102.878,27259.373,19657.257,13878.775,10251.062,6766.97,4318.421,2270.04,659.707,47.016
"132","NIC","Nicaragua","2020",65.963,269.548,667.35,612.833,567.75,445.551,281.109,194.81,101.671,46.496,11.768,63.387,258.044,629.994,574.898,562.599,482.037,334.634,237.939,131.162,63.401,21.61
"126","NLD","Netherlands","2020",86.376,354.004,940.622,1043.925,1094.029,1018.957,1212.192,1193.044,958.8,494.494,140.702,82.173,336.347,890.941,992.814,1059.842,1006.358,1208.034,1182.273,998.193,583.005,257.748
"135","NOR","Norway","2020",30.771,124.611,325.261,346.797,384.877,367.138,389.226,329.419,268.148,133.478,40.257,28.806,117.56,308.54,328.277,365.072,342.169,365.672,316.886,273.605,159.459,75.213
"125","NPL","Nepal","2020",282.894,1102.814,2859.993,3141.112,1911.226,1209.456,1201.98,867.716,522.193,220.552,28.499,261.98,1059.085,2827.466,3269.293,2822.886,2111.05,1510.038,999.684,616.527,269.764,40.6
"131","NZL","New Zealand","2020",30.77,123.922,326.387,320.836,339.84,274.552,297.497,288.715,219.171,113.338,35.135,28.923,117.641,309.348,306.887,331.362,298.485,327.943,309.808,234.934,132.208,54.531
"123","OMN","Oman","2020",52.359,179.553,357.543,294.03,1248.527,695.506,330.502,150.391,39.343,19.015,3.461,46.58,175.174,337.115,249.58,375.972,276.627,135.858,73.076,42.123,18.661,5.626
"137","PAK","Pakistan","2020",3009.695,11499.601,25380.952,22184.983,18418.159,13067.22,9081.87,6151.965,3193.542,1434.465,249.555,2794.639,10658.917,23569.946,20563.209,17558.256,12545.998,8782.068,6019.025,3135.526,1380.583,212.157
"138","PAN","Panama","2020",39.57,159.48,384.981,358.35,325.115,295.792,250.399,175.314,102.012,50.223,18.644,37.752,152.511,368.896,347.911,321.208,293.796,252.516,182.748,112.512,59.982,25.056
"141","PER","Peru","2020",319.353,1130.515,2635.011,2390.71,2734.317,2489.635,1947.969,1375.02,854.132,404.925,97.019,301.354,1082.043,2673.179,2655.932,2726.754,2348.978,1889.995,1394.201,907.114,463.781,149.909
"142","PHL","Philippines","2020",1001.102,4449.531,11424.323,10599.414,8974.389,6941.89,5422.665,3690.633,1846.633,583.443,94.802,954.192,4211.517,10880.43,9967.814,8752.588,6864.803,5453.596,3952.476,2300.481,975.283,239.08
"139","PNG","Papua New Guinea","2020",118.25,454.393,1052.2,906.48,693.011,558.605,392.257,243.142,114.893,31.294,3.547,110.256,424.285,985.138,854.038,660.875,536.012,384.269,254.264,129.97,35.822,4.026
"143","POL","Poland","2020",201.147,766.172,1984.875,1877.001,2733.664,3149.279,2402.307,2408.631,1874.131,698.719,241.957,190.055,727.54,1889.596,1823.604,2557.759,2988.433,2412.994,2641.3,2430.609,1230.014,616.818
"147","PRI","Puerto Rico","2020",6.318,37.235,188.441,177.644,153.121,178.308,190.691,178.2,137.339,80.57,27.651,6.074,34.664,177.915,150.182,148.74,192.689,224.224,220.558,184.96,113.722,51.594
"95","PRK","Dem. People's Republic of Korea","2020",180.661,713.238,1722.247,1950.5,1949.983,1691.666,2143.079,1417.376,568.8,252.539,18.29,172.203,679.991,1647.021,1866.612,1885.885,1655.634,2155.295,1537.438,838.448,614.995,116.914
"144","PRT","Portugal","2020",40.082,166.282,476.872,538.405,536.621,687.093,744.346,659.591,536.87,329.906,107.966,38.15,156.138,453.551,526.596,558.24,732.67,809.503,750.546,651.378,473.677,222.224
"140","PRY","Paraguay","2020",73.234,285.403,694.777,683.481,631.928,471.393,310.606,240.996,153.438,64.561,14.543,69.848,272.607,664.968,653.659,606.395,449.599,300.913,236.929,155.858,75.517,21.877
"66","PSE","State of Palestine","2020",69.338,285.172,645.915,516.008,425.94,275.272,185.109,107.482,54.135,20.028,2.572,66.097,272.306,618.133,499.694,410.961,266.347,182.721,110.857,58.206,24.897,4.226
"61","PYF","French Polynesia","2020",2.252,8.03,21.682,22.094,20.712,19.783,20.297,15.039,8.197,3.468,0.707,2.278,7.532,20.65,20.708,20.877,19.831,19.329,14.338,8.046,3.927,1.127
"148","QAT","Qatar","2020",13.189,56.073,132.521,247.498,807.884,460.865,289.538,122.652,30.965,3.074,0.876,12.869,53.031,125.271,95.927,167.196,145.161,72.868,29.854,9.746,3.081,0.921
"149","REU","Réunion","2020",6.323,26.571,68.932,68.719,49.545,49.24,60.242,52.941,32.497,14.232,4.059,6.161,25.784,66.615,65.991,53.999,58.576,64.962,56.8,36.208,18.744,8.167
"150","ROU","Romania","2020",102.647,380.136,1051.548,1033.832,1291.788,1386.674,1524.535,1101.714,933.542,415.764,131.732,97.281,359.542,994.654,970.59,1180.755,1326.567,1504.584,1231.256,1239.904,724.037,254.6
"151","RUS","Russian Federation","2020",894.207,3868.619,8988.339,6994.883,10876.552,11039.018,8603.792,8886.176,5178.431,1857.641,452.641,848.485,3660.38,8536.839,6701.588,10660.368,11490.341,9646.541,11605.462,8639.696,4787.475,1716.986
"152","RWA","Rwanda","2020",203.275,746.623,1615.655,1259.836,987.44,682.792,392.824,311.315,127.315,34.004,6.352,199.893,735.314,1612.029,1277.754,1018.62,760.316,422.557,321.95,168.066,57.043,11.236
"156","SAU","Saudi Arabia","2020",289.751,1220.961,2851.337,2357.02,3684.702,4503.488,3146.883,1430.618,466.268,151.717,28.563,281.443,1186.182,2768.041,2194.893,2774.864,2616.501,1576.089,713.145,381.357,155.271,34.773
"170","SDN","Sudan","2020",670.215,2545.602,5630.822,4530.025,3141.877,2150.547,1523.282,966.658,526.326,190.395,31.546,650.145,2473.116,5481.83,4430.096,3125.228,2280.251,1601.705,1036.793,589.708,230.399,42.703
"157","SEN","Senegal","2020",268.715,1057.697,2286.762,1649.512,1171.807,771.954,465.73,281.695,153.925,56.899,6.089,260.922,1028.007,2229.397,1634.313,1243.378,910.611,591.397,371.606,211.596,81.772,10.146
"161","SGP","Singapore","2020",30.688,103.377,236.802,356.192,468.724,483.245,508.398,498.67,279.546,74.884,21.731,28.429,95.682,224.684,306.514,401.474,451.964,449.615,424.772,266.376,97.903,40.673
"22","SLB","Solomon Islands","2020",10.761,42.358,88.654,67.98,47.377,37.011,27.227,15.723,8.14,3.396,0.635,10.165,39.872,83.151,63.049,46.067,39.52,27.159,15.591,8.57,3.705,0.767
"160","SLE","Sierra Leone","2020",121.31,459.594,1031.45,817.15,610.062,426.104,266.633,149.632,72.476,23.961,2.867,120.509,457.238,1028.103,811.748,595.324,410.172,269.535,168.907,94.089,35.083,5.038
"52","SLV","El Salvador","2020",59.73,235.126,586.973,606.692,490.3,343.085,276.693,205.15,134.601,77.439,20.635,56.922,224.438,561.53,614.319,566.671,446.72,369.972,280.761,190.333,105.955,32.156
"165","SOM","Somalia","2020",310.035,1113.942,2268.051,1680.948,1007.441,600.205,432.105,289.517,164.439,51.162,6.242,305.058,1097.47,2240.151,1671.574,1020.742,626.622,468.076,300.038,170.053,60.397,8.951
"158","SRB","Serbia","2020",44.418,172.293,477.472,537.968,613.356,612.878,581.67,525.05,476.849,188.934,48.763,41.43,160.916,446.154,504.069,577.864,605.635,597.321,573.663,581.909,281.068,87.69
"169","SSD","South Sudan","2020",180.724,684.14,1476.959,1140.689,822.915,539.373,363.259,222.587,119.1,47.066,6.202,175.909,666.619,1441.762,1122.946,822.046,542.532,373.854,242.113,136.69,57.264,8.98
"155","STP","Sao Tome and Principe","2020",3.283,12.781,30.189,22.081,14.665,11.857,7.391,4.587,2.047,0.691,0.103,3.204,12.486,29.574,21.599,14.366,11.743,7.598,5.164,2.447,1.053,0.252
"172","SUR","Suriname","2020",5.327,21.72,53.996,51.483,46.04,37.394,35.09,26.206,11.833,4.624,1.109,4.947,20.192,50.243,47.89,43.965,37.626,35.294,27.36,14.837,7.429,2.029
"162","SVK","Slovakia","2020",29.458,115.727,289.258,283.761,396.483,459.585,376.933,345.115,247.45,92.128,22.581,28.031,110.475,276.219,269.862,379.091,435.332,373.508,379.091,322.744,170.211,56.6
"164","SVN","Slovenia","2020",9.734,42.299,109.867,97.194,125.431,161.815,154.231,148.24,113.961,56.999,15.459,9.206,40.033,103.538,90.992,117.61,146.344,144.034,147.243,122.895,82.356,39.451
"174","SWE","Sweden","2020",63.167,246.073,605.178,556.997,727.436,631.3,676.838,596.229,535.225,326.414,94.09,59.309,232.901,573.224,528.015,698.657,605.252,657.488,588.146,555.659,373.458,168.214
"173","SWZ","Eswatini","2020",15.135,57.387,146.055,124.124,89.833,60.293,38.394,22.102,12.489,4.067,0.357,14.899,56.256,144.667,117.932,92.791,78.686,35.395,19.66,17.945,9.871,1.826
"159","SYC","Seychelles","2020",0.804,3.293,7.904,6.547,7.589,8.073,7.366,5.429,2.271,0.962,0.201,0.762,3.108,7.5,6.244,6.584,6.744,6.89,5.57,2.442,1.526,0.531
"176","SYR","Syrian Arab Republic","2020",217.595,761.993,1766.98,1622.061,1537.941,1219.167,738.827,508.879,265.114,99.248,22.26,208.588,730.92,1699.69,1556.701,1479.39,1262.214,784.476,552.175,301.425,131.902,33.111
"34","TCD","Chad","2020",314.889,1160.618,2359.718,1698.621,1118.875,696.787,413.165,251.167,134.725,45.799,5.806,309.273,1145.655,2346.274,1691.73,1116.626,692.914,421.993,277.137,158.784,56.293,9.01
"179","TGO","Togo","2020",127.159,484.515,1075.486,820.429,599.969,452.967,285.636,163.294,82.904,25.001,2.044,126.397,481.989,1068.626,814.309,598.814,458.899,299.149,180.6,96.792,30.9,2.858
"178","THA","Thailand","2020",361.586,1488.831,4093.906,4694.757,4658.917,4942.125,5338.936,4444.851,2505.941,1119.949,316.261,339.804,1405.831,3863.679,4491.653,4630.181,5129.748,5865.434,5005.243,3033.1,1535.193,534.052
"177","TJK","Tajikistan","2020",139.545,557.99,1128.984,841.37,804.069,537.107,380.43,276.283,102.288,31.834,5.838,131.252,527.963,1068.954,803.722,796.815,539.692,401.622,298.571,117.344,37.573,8.396
"185","TKM","Turkmenistan","2020",58.29,277.201,605.89,478.142,538.155,399.475,292.785,201.911,85.156,26.544,5.761,56.496,269.078,590.158,467.955,535.296,411.668,310.178,250.945,116.938,40.778,12.387
"146","TLS","Timor-Leste","2020",20.129,70.564,156.41,143.34,103.622,58.371,52.052,35.502,18.249,7.191,0.812,19.431,67.96,151.114,139.431,101.361,57.426,50.268,34.993,19.643,9.238,1.335
"180","TON","Tonga","2020",1.239,5.024,12.804,10.973,6.596,5.303,4.765,3.325,1.854,0.84,0.181,1.148,4.79,11.737,10.144,6.956,6.096,5.055,3.483,2.131,1.024,0.229
"181","TTO","Trinidad and Tobago","2020",8.475,36.43,97.629,88.58,107.749,113.293,85.039,81.338,48.92,19.602,3.892,8.207,35.254,94.776,86.606,106.39,113.98,87.873,86.726,55.216,26.542,6.974
"183","TUN","Tunisia","2020",93.792,421.271,964.013,834.644,906.087,893.084,691.953,584.644,314.291,125.663,31.31,89.242,399.849,902.658,773.515,926.161,939.636,745.012,604.395,359.794,167.752,49.852
"184","TUR","Turkey","2020",642.168,2714.562,6964.842,6938.229,6463.192,6165.457,4977.799,3570.218,2074.501,939.728,185.429,614.488,2595.93,6660.518,6653.701,6335.932,6222.368,5216.174,4028.937,2642.187,1320.718,411.989
"37","TWN","China, Taiwan Province of China","2020",93.904,430.095,1047.687,1413.905,1658.773,1969.841,1761.758,1721.094,1101.813,439.402,196.041,87.81,399.328,969.865,1301.382,1580.927,1989.572,1800.271,1815.862,1217.955,584.453,235.037
"192","TZA","United Republic of Tanzania","2020",1040.272,3884.398,8230.801,5882.535,4241.284,2963.776,1882.171,1055.748,505.349,151.371,13.403,1016.967,3796.965,8047.493,5814.482,4245.3,2980.055,1914.546,1158.293,641.475,239.508,28.021
"186","UGA","Uganda","2020",814.094,3124.357,6680.84,4760.086,3078.801,1923.802,1177.507,625.141,277.12,77.47,7.371,795.523,3062.065,6571.249,4825.343,3314.217,2094.178,1256.086,729.435,390.96,136.684,18.671
"187","UKR","Ukraine","2020",190.252,897.288,2512.093,2121.855,3233.628,3455.886,2772.524,2605.721,1632.833,696.587,144.481,180.01,846.3,2367.311,2003.966,3103.65,3505.429,3099.647,3425.702,2748.456,1704.928,485.212
"196","URY","Uruguay","2020",23.892,97.106,240.051,254.569,251.454,226.666,203.778,176.035,121.382,62.989,20.414,22.708,92.95,229.677,245.111,245.657,229.228,213.219,197.525,151.526,103.797,63.993
"193","USA","United States of America","2020",2039.37,8015.693,21023.906,22157.053,23846.969,20977.453,20288.634,20751.951,15110.793,7132.609,2441.585,1951.448,7669.821,20110.733,21344.6,23040.84,20932.937,20342.971,21459.462,17063.097,9056.327,4244.395
"197","UZB","Uzbekistan","2020",352.529,1414.341,3184.539,2715.904,3139.585,2303.327,1639.025,1248.532,503.774,163.361,32.001,329.981,1334.786,3022.97,2601.864,3055.463,2348.871,1754.717,1419.972,611.415,228.645,63.597
"154","VCT","Saint Vincent and the Grenadines","2020",0.744,3.16,8.336,9.436,8.187,7.585,7.097,6.275,3.299,1.571,0.528,0.7,3.102,8.26,8.927,7.965,7.709,6.646,5.822,3.309,1.651,0.638
"198","VEN","Venezuela (Bolivarian Republic of)","2020",208.349,994.524,2754.592,2329.957,2011.662,1856.562,1594.877,1234.229,677.394,259.232,63.554,201.72,958.816,2634.394,2272.443,2081.373,1974.755,1702.208,1358.364,791.301,353.612,122.025
"194","VIR","United States Virgin Islands","2020",0.546,2.527,7.152,6.88,5.246,4.741,6.21,6.978,5.79,3.027,0.504,0.554,2.343,6.988,6.38,5.689,5.843,7.1,7.844,7.12,3.92,1.041
"163","VNM","Viet Nam","2020",840.055,3324.787,7738.795,6865.03,8642.53,7441.202,6174.777,4542.244,2004.258,721.062,303.514,751.808,2975.821,6945.48,6456.042,8363.79,7356.521,6232.716,5030.321,2659.433,1266.038,702.359
"130","VUT","Vanuatu","2020",4.61,17.047,39.334,28.726,22.677,16.951,12.588,8.037,4.023,1.527,0.17,4.382,16.041,36.563,27.017,25.179,17.171,12.05,7.696,3.813,1.373,0.175
"199","WSM","Samoa","2020",3.02,11.005,24.296,18.789,14.072,10.45,9.855,6.752,3.198,1.104,0.162,2.786,10.179,22.521,17.097,12.308,9.786,8.791,6.616,3.639,1.672,0.312
"202","WWW","World","2020",70120.108,279312.448,674425.063,624928.997,615296.371,525836.725,463842.568,349395.662,216125.374,88403.894,22286.743,65957.605,262551.629,631281.773,584654.661,584926.514,512770.93,461296.264,360595.066,242195.667,117308.032,41286.635
"200","YEM","Yemen","2020",420.574,1679.269,3806.571,3109.657,2592.718,1603.418,872.956,543.289,292.194,92.322,12.017,403.46,1612.003,3660.212,3017.182,2544.098,1569.795,901.07,615.5,336.967,121.312,19.384
"166","ZAF","South Africa","2020",570.58,2348.413,5717.973,4949.201,5338.667,4296.374,2869.02,1839.971,944.278,308.744,32.791,555.581,2290.371,5598.65,4888.101,5252.841,4294.881,3056.347,2174.144,1320.665,570.514,90.583
"201","ZMB","Zambia","2020",305.396,1184.093,2593.671,1929.122,1285.339,882.03,508.064,261.882,115.582,34.632,3.195,298.042,1158.923,2552.015,1939.4,1341.58,917.92,531.191,303.334,163.462,65.486,9.597
"167","ZWE","Zimbabwe","2020",190.023,864.534,2072.213,1488.848,933.874,728.416,418.601,235.097,113.985,42.147,4.272,187.276,855.615,2059.559,1527.876,1166.162,881.713,491.114,314.014,185.646,87.441,14.501
"1100","US01","Alabama","2020",30.3300484217403,119.211500033738,315.57722089802,332.588545033699,322.932495921112,290.488576547326,299.54190193199,315.180700425975,240.405908006318,112.115916264641,29.7606467429708,28.2913075513299,111.193977382256,295.200669964895,322.220929656466,334.479304262549,309.025381696761,311.897572248096,335.647598939389,278.962251170936,149.150543748019,60.4826196424258
"210","US02","Alaska","2020",5.36310661083049,21.0795569801888,51.8721129011757,53.1145262138682,64.8746626165049,49.8912023384514,46.9130752129217,48.9301133960461,32.7377629460303,10.3931472924861,3.76861436606647,5.23504975199381,20.5754365598709,50.3523644858832,45.2295309363218,56.7806386885839,48.0488222529049,40.4528925686123,44.3286142842112,29.9684295473784,11.4645410679385,4.09476536231333
"310","US04","Arizona","2020",45.2677535513158,177.923778062346,472.686940500694,499.281086526717,526.630859479038,453.249137519228,417.510995593738,420.570828091272,360.442410055564,196.507396517471,57.0183895326925,42.898171873517,168.603672502219,456.017635856055,475.310659120967,485.878620295021,438.287234779676,414.861626146538,444.54050748728,406.064265907152,218.68080345494,84.0530216834999
"410","US05","Arkansas","2020",19.575217351452,76.9399043319812,200.722834159526,209.239722516831,202.765573610002,184.580910431407,179.207814784926,188.621808009151,146.275604223973,71.6230117850804,21.667338999314,18.6324181335769,73.2314219398565,194.755386970691,201.52446462497,203.477970328838,186.124727829465,182.457021377436,194.630491312362,166.15720970915,89.4624943799389,37.9020808091707
"510","US06","California","2020",252.304492780927,991.676525913702,2573.94060864651,2714.2305704216,3231.49694514275,2692.70118609658,2493.13057117099,2367.81600791298,1619.35931395762,756.362243432593,298.186676102481,241.002587499163,947.218017931,2462.43026139072,2596.86495877809,3008.36617485113,2623.82556388633,2456.0633447109,2405.63002435631,1838.92926846037,963.064170715155,476.415645335485
"610","US08","Colorado","2020",35.1581433376666,138.188206870127,366.119300887904,384.460421662382,482.696366900926,408.962426422357,352.693793955996,352.276979708186,253.915344692548,102.637568442103,34.8125203663998,33.021333279713,129.784506395631,349.566962352177,364.282692796225,437.602201494819,380.272110070309,340.790682185196,357.763169162277,274.815794231511,124.443056631554,57.9408257901713
"710","US09","Connecticut","2020",18.7556508779986,73.7186187171613,210.00710698773,246.763679044986,237.85513048163,211.675370812887,235.848925916468,251.324279434079,169.662492816045,82.1497232187159,32.1637416428694,18.0570485736662,70.9700337125687,205.043448950516,239.071893473657,225.461270615841,217.198976650282,247.305372573478,260.877977801751,191.499373101667,107.627182498019,60.7563673013705
"810","US10","Delaware","2020",5.60402424430974,22.0264777391763,57.3128166209377,60.3124250007076,66.1962358263471,55.5710609021278,58.3473071256761,65.1363573768446,52.7113601930914,24.647781931584,8.4179613677416,5.43327778058497,21.3545367441838,56.6549577545162,59.5111563142755,65.5206893618828,57.913137773706,61.6842107331505,70.8285867980179,60.8459022717691,31.8479756629362,11.3756203977434
"910","US11","District of Columbia","2020",4.85732165494987,19.0915818063079,33.2950688210873,42.213605411085,79.4372931290704,52.6169432608189,37.5900046872152,33.7455482835523,22.2384797124424,10.4142874725867,4.72941360491228,4.38297419524962,17.2265043829934,32.8758856452688,49.3431844352994,89.5947801639798,53.8242891115391,36.162167571762,36.1294992218853,29.1741696209992,16.5290848838358,6.85826359234432
"1010","US12","Florida","2020",116.795732115336,459.06271659717,1210.12211196042,1282.95199566809,1448.35670904053,1301.0006846652,1327.95079089833,1371.72205765022,1174.97922202757,671.082026693322,238.315502528421,113.841848542911,447.435238158146,1158.03906989726,1226.22006272621,1404.01353372658,1311.6518763637,1349.91444035734,1478.271693824,1356.42100518095,780.382579878673,357.764250331371
"1110","US13","Georgia (USA)","2020",66.9901214036751,263.303003969162,730.738724246805,746.806122299455,739.417540855063,684.199084768907,673.709138522738,619.829557979539,430.999045042223,187.618952028282,52.4183986563005,64.1299185666202,252.051295320476,689.084852648285,737.824500813962,751.620148844113,730.804994263339,689.483838417737,659.652613418937,512.899461137948,246.038143965705,98.8905611445514
"1210","US15","Hawaii","2020",8.90218055773676,34.9897989974289,86.6194270607788,90.8065207590757,107.921190012347,93.8187125424998,85.061884273483,89.8357742898507,76.3516936852511,34.1659013713135,15.4791776915879,8.85947135783456,34.82058423756,82.2156653723709,79.1117108764755,99.9478926824556,89.5266127149308,82.3414190526257,90.0894806319305,80.8387135565432,40.8847075574156,27.0208715825252
"1310","US16","Idaho","2020",12.011580848303,47.2112194082862,128.750572014987,127.485419158387,120.397334663509,111.340749321779,101.326609187408,107.544936006512,87.2016169786004,41.3685817813937,11.6304967222843,11.0828782508325,43.5592915356589,124.801186090906,117.033580952645,115.431114601352,110.605290983631,95.1338522424428,107.498015056395,90.0137858306656,43.347025675557,19.8794925406259
"1410","US17","Illinois","2020",79.3146719156892,311.744342847,813.184592261572,860.670569280012,926.22560341107,831.96461387228,798.420007283195,824.70336010769,564.493431602271,262.1451444443,94.997379536704,74.9552020356834,294.598156155085,784.487681322424,827.194975817146,899.617154807974,828.887650392716,799.385509093815,842.322917327071,638.75428167334,349.312733316252,180.022913888892
"1510","US18","Indiana","2020",43.6637332839303,171.619216345179,449.090012224451,476.126511616604,456.43901437364,416.89402781227,411.059371186793,433.424128828085,304.029366035248,137.474235495118,48.6980436127332,41.1995101515896,161.927383230491,431.286089027268,455.785387491852,447.349627124645,417.677668979415,411.024502123715,439.43814164995,341.688736012414,186.157230164006,85.53521433117
"1610","US19","Iowa","2020",20.5165619041705,80.6398356547982,210.298998466202,227.285008309739,208.572392225894,195.911902615499,183.429810188565,210.319254521881,152.257122963839,73.9107329187724,27.8182090123818,19.6800786785311,77.3490662985895,201.702454995316,216.91283654075,199.383459137847,191.366245704448,177.451537850262,208.524767705222,162.724067442435,95.6761811468507,52.3066201709029
"1710","US20","Kansas","2020",19.4367962680208,76.3958437105579,201.834559720003,216.151751155538,199.40399490754,185.908648599572,168.177182314977,186.317893011085,134.121738594935,59.7584983124488,25.8384799871344,18.5470275981838,72.8958095527679,196.701407292877,200.999412633201,189.834131521255,177.146220928327,163.597528556015,186.823645358049,143.574788090726,80.201940327292,41.8719422966804
"1810","US21","Kentucky","2020",28.3588672453709,111.46382150696,289.217841829438,306.366907759847,300.683409639986,281.650188231295,280.110123187091,294.521269304964,215.909215970353,97.1356627417694,29.578577480815,27.1958689687153,106.888549902176,275.977405336526,288.044635449653,298.25807378096,277.071358805659,281.776656346444,304.459590777439,242.388723792025,129.043950574364,53.7919354154431
"1910","US22","Louisiana","2020",31.0714739609987,122.125654652593,316.463285101481,315.460579148927,332.204397847319,294.849206635921,273.195943423572,293.37134339954,213.876118171655,92.1399994837266,28.1746699172047,30.2461408794367,118.87710381525,297.956981363933,306.384562236709,335.030111088372,300.516338619407,280.809507016199,308.300308261162,243.612429711225,128.443824126757,50.1239249587089
"203","US23","Maine","2020",6.63304901409897,26.0710339717511,71.6919801038901,78.5008004965458,83.8140963186808,77.2275309115675,87.7180720612753,104.15462560999,82.6714106066447,35.8820473732872,13.8745552184927,6.24753752879792,24.5548405782078,68.5251692380662,73.8088816598642,81.630945120433,77.7250500679698,88.6083947552025,108.907490000029,89.8913479237869,44.6420308943346,23.1061759730538
"211","US24","Maryland","2020",37.6324709448659,147.91348991378,381.964893169494,388.474717651469,427.63774755812,383.693280813764,392.61832700561,392.053122451687,262.239551616225,121.298381569541,42.0459347273452,35.7867667616587,140.653553274631,367.022753121422,381.449744094821,427.204019744619,398.886969724547,410.815067325365,418.174759821706,312.816821991236,166.17472301669,73.047949447674
"221","US25","Massachusetts","2020",37.0316990871585,145.552171087661,388.156033233914,476.689542670636,516.196662940979,417.990287566464,443.767980905624,460.603769210991,321.019016910226,146.546848038976,55.0046596211389,35.5322216418678,139.653108730262,372.567228839911,481.71642977058,507.852483168774,432.479837279892,456.390826708509,478.794794555674,369.931440174665,194.272152883821,107.811820402403
"232","US26","Michigan","2020",59.3172905561185,233.145133393963,615.083481132763,693.147165017685,683.45850624577,587.236108555995,631.067416875056,692.646261190418,504.571008416274,233.574527764498,76.7049027039751,56.3022495114524,221.286027426904,589.223362983931,668.624107197298,651.237552941326,589.952877148421,629.791744717131,706.795027335392,557.441315384608,294.072816825137,139.848623423918
"241","US27","Minnesota","2020",36.7688613994116,144.519094101234,372.641841229253,367.417176659514,402.089453012681,366.619223476502,343.436065378748,379.857983805063,259.693470562287,120.471650093624,47.0725818867406,35.329724086507,138.857227926594,357.53838772821,354.117997051059,383.696832157128,355.283634568722,330.390416803982,375.456698978859,277.396472800113,153.053104851138,75.4159187408268
"251","US28","Mississippi","2020",18.2650881820261,71.7904742567799,209.092137514896,217.990560941476,189.335009884925,187.375501864101,172.555984296024,185.231001221125,139.203393481292,61.3596171887991,17.1167042482053,17.8443854783776,70.1341990532955,197.99730162035,208.763375953665,202.430162875481,197.009355671731,178.662357887167,197.483570007303,160.132313270076,88.0146447493024,32.0107813809314
"261","US29","Missouri","2020",38.1000987692434,149.751489432488,396.960496697106,408.769280508383,425.068017403342,376.991356332971,365.331207891178,408.764896084757,292.627924740379,144.067424170513,47.5628527312201,37.1426464772223,145.982598535331,376.829734122666,395.987714753514,421.868267423787,372.62525275025,370.425139643452,422.643492318584,335.435719467723,182.596071819339,84.7680963667508
