Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
World,Global,7794798.729,59.917,7.546,213,0.527807275,0.673124227,0.937837573,365,0.454549389,0.579696833,0.807668851,8.195216137,69.59379326,74.48759698,71.98101458,-0.766127446,-0.669919509,-0.719196745
Afghanistan,Cntry/Terr,38928.341,59.627,6.517,214,0.196549736,0.827757394,1.153281897,365,0.138870547,0.584844958,0.814841531,6.393866694,63.17813137,66.35554653,64.72808999,-0.472785799,-0.334795729,-0.40547357
Albania,Cntry/Terr,2877.8,105.029,7.821,214,0.756256564,0.644798912,0.898373023,365,0.800264091,0.682320577,0.950650486,9.26464387,76.01626881,79.52410821,77.72740998,-1.083105835,-0.7667836,-0.928802305
Algeria,Cntry/Terr,43851.043,18.411,4.719,214,0.059704566,0.10010573,0.139473386,365,0.070488631,0.118187208,0.164665599,4.933307769,75.63005856,78.15818537,76.86329115,-0.212116407,-0.14097866,-0.177415067
Andorra,Cntry/Terr,77.265,164.394,NA,214,0.971290092,NA,1.233279394,365,0.983627775,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Angola,Cntry/Terr,32866.268,26.363,8.332,214,0.031708077,0.150284741,0.209385833,365,0.029361411,0.139162397,0.193889507,7.890067763,58.54876291,64.18442775,61.29786771,-0.088846652,-0.073267663,-0.081247145
Antigua and Barbuda,Cntry/Terr,97.928,222.564,6.344,214,0.661844254,0.823375331,1.14717654,365,0.408463361,0.508153773,0.707990713,7.010813301,75.14274363,77.72201436,76.40092447,-0.821725832,-0.522153513,-0.675592993
Argentina,Cntry/Terr,45195.777,16.515,7.612,214,2.359656715,2.496440356,3.478192391,365,2.264171717,2.395420321,3.337445141,9.970753992,70.48767784,77.25043983,73.78658613,-2.916572718,-2.85607982,-2.887063988
Armenia,Cntry/Terr,2963.234,104.083,9.905,214,1.033759409,1.059528603,1.476199628,365,1.313092385,1.345824694,1.875084738,10.82126147,70.01531731,77.27041327,73.55438851,-1.44904616,-1.327282478,-1.389649242
Aruba,Cntry/Terr,106.766,593.144,8.974,214,0.974486785,0.885174856,1.233279394,365,1.002191709,0.910340618,1.268341862,10.5558515,72.78562263,77.773946,75.2189511,-1.12212327,-0.991494636,-1.058401985
Australia,Cntry/Terr,25499.881,3.319,6.598,214,0.00107019,0.000763553,0.001063829,365,0.028588369,0.020397072,0.028418441,6.895968699,81.5919443,85.46719966,83.48231277,-0.049043899,-0.041037485,-0.045138332
Austria,Cntry/Terr,9006.4,109.289,9.873,214,0.855227767,0.50239916,0.699973036,365,1.112542192,0.653557197,0.910575598,11.09341872,78.13163565,82.93317603,80.47385047,-1.240269363,-1.041971231,-1.143538567
Azerbaijan,Cntry/Terr,10139.175,122.664,6.752,214,0.401371851,0.649687911,0.905184673,365,0.452305045,0.732131858,1.020050591,7.344825891,69.76814297,74.94204343,72.29199686,-0.766092355,-0.620471346,-0.695057716
Bahamas,Cntry/Terr,393.248,39.286,6.714,214,0.507456045,0.756028939,1.053345455,365,0.694218407,1.034275206,1.44101506,7.798520778,70.47915305,75.24922929,72.80601951,-1.232970816,-0.94327521,-1.091655887
Bahrain,Cntry/Terr,1701.583,2238.925,2.382,214,1.034440821,2.909773388,4.054073086,365,0.727557809,2.046543706,2.851369042,3.190106543,73.85040947,76.63748243,75.20995726,-2.708554749,-1.908618872,-2.318342126
Bangladesh,Cntry/Terr,164689.383,1265.187,5.548,214,0.138331923,0.268132729,0.37357881,365,0.108282633,0.209887329,0.292427779,5.739059396,70.86300562,74.61182482,72.69169791,-0.269267117,-0.230843355,-0.250523818
Barbados,Cntry/Terr,287.371,668.305,8.98,214,0.243343645,0.164983033,0.229864386,365,0.142672712,0.096729778,0.134769804,9.352722452,77.75636565,80.44454666,79.06767346,-0.222175744,-0.154131841,-0.188983596
Belarus,Cntry/Terr,9449.321,46.569,12.554,214,0.368221087,0.293728515,0.409240414,365,0.308064463,0.245741812,0.342382424,12.97355725,69.48598977,79.33149571,74.28867559,-0.237354555,-0.284324767,-0.260266854
Belgium,Cntry/Terr,11589.616,382.748,9.794,214,0.840764311,0.491736719,0.685117475,365,1.328861974,0.777209758,1.082855859,11.27776321,78.02281092,82.71669294,80.31250946,-1.482127,-1.279133013,-1.383105543
Belize,Cntry/Terr,397.621,17.432,4.702,214,0.38176823,0.77445559,1.079018585,365,0.842510833,1.709118709,2.381248034,5.785394897,69.35747001,75.83619254,72.51782246,-2.423183363,-2.076650421,-2.254142903
Benin,Cntry/Terr,12123.198,107.513,8.959,214,0.009004132,0.03138275,0.043724354,365,0.005939027,0.020699718,0.028840105,8.602346965,60.46884124,63.61811379,62.00507175,-0.017578656,-0.012119228,-0.01491552
Bermuda,Cntry/Terr,62.273,1245.46,NA,214,0.629951535,NA,1.233279394,365,0.385399772,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),Cntry/Terr,11673.029,10.775,6.785,214,1.267403624,1.898796951,2.645519286,365,1.280301797,1.918120717,2.672442331,8.225695253,66.1796223,72.26927399,69.1501841,-2.703217371,-2.425812674,-2.567898007
Bosnia and Herzegovina,Cntry/Terr,3280.815,64.33,10.614,214,2.930524685,2.192313243,3.054464018,365,2.852644846,2.134051661,2.973290442,13.97013421,72.39806328,77.74757243,75.00757993,-2.660347661,-2.23350613,-2.45213228
Botswana,Cntry/Terr,2351.625,4.149,5.802,214,1.107516129,3.020099371,4.207785949,365,0.666347738,1.817071853,2.531654914,6.607497398,64.77332939,70.87079259,67.74770168,-1.601567446,-1.405624995,-1.505985763
Brazil,Cntry/Terr,212559.409,25.431,6.417,214,2.903817641,3.552231298,4.949184484,365,2.190310004,2.679399574,3.73310229,8.97198996,68.90988157,76.2866602,72.50831017,-3.538984704,-3.417473912,-3.479711147
British Virgin Islands,Cntry/Terr,30.237,201.58,NA,214,1.69223879,NA,1.233279394,365,0.992161921,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,Cntry/Terr,437.483,83.014,4.403,214,0,0,0,365,0,0,0,4.755277344,74.84917096,77.25443792,76.02247192,-1.42E-14,1.42E-14,-3.47E-16
Bulgaria,Cntry/Terr,6948.445,64.006,15.382,214,2.611513503,1.621105696,2.258622956,365,2.567624843,1.593861664,2.220664915,18.12309384,70.00824811,77.23080192,73.53144509,-1.684263963,-1.536536782,-1.612201924
Burkina Faso,Cntry/Terr,20903.278,76.401,8.274,214,0.006853998,0.031886338,0.044425984,365,0.005549369,0.02581691,0.035969688,7.779993148,61.05626357,62.66385418,61.84045411,-0.018672379,-0.011813402,-0.015326537
Burundi,Cntry/Terr,11890.781,463.037,8.042,214,0.001004076,0.004636491,0.006459841,365,0.00067279,0.003106721,0.004328473,7.66389577,60.02298403,63.66969071,61.80186534,-0.002389274,-0.001715658,-0.002060681
Cabo Verde,Cntry/Terr,555.988,137.962,5.642,214,0.567525528,1.184061068,1.649705825,365,0.494614992,1.031943634,1.437766573,6.129426222,68.65888371,75.45287443,71.97302552,-1.025370595,-0.916566828,-0.972295587
Cameroon,Cntry/Terr,26545.864,56.157,9.355,214,0.056926692,0.235848913,0.328599036,365,0.035523425,0.147174564,0.205052545,8.990030184,58.15983512,60.7682453,59.43223033,-0.094177048,-0.062513803,-0.078731563
Canada,Cntry/Terr,37742.157,4.15,7.712,214,0.49389292,0.321918233,0.448516043,365,0.465977607,0.303723099,0.423165476,8.507433659,79.98138999,83.9172106,81.90130248,-0.664975394,-0.572696993,-0.61996154
Cayman Islands,Cntry/Terr,65.72,273.833,NA,214,0,NA,1.233279394,365,0.015216068,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Central African Republic,Cntry/Terr,4829.764,7.753,12.388,214,0.012360078,0.051587711,0.071875133,365,0.008074929,0.033702625,0.046956545,11.82008322,51.30507762,55.70132011,53.44958615,-0.015362238,-0.012223489,-0.013831141
