Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Chad,Cntry/Terr,16425.859,13.045,12.241,214,0.007268571,0.033032794,0.046023296,365,0.006027082,0.027390715,0.038162409,11.7276723,53.04903625,55.91062759,54.44493446,-0.016754234,-0.011544805,-0.014213049
Channel Islands,Cntry/Terr,173.859,915.047,7.808,214,0.284498455,0.180718829,0.251788453,365,0.230071495,0.146145789,0.203619193,8.301515268,81.00611656,84.73485632,82.82501401,-0.324359153,-0.287278304,-0.306270934
Chile,Cntry/Terr,19116.209,25.71,6.12,214,1.688101101,1.604758321,2.2358468,365,1.368001365,1.300462142,1.811882874,7.869192527,75.61656921,80.51956463,78.00827429,-2.366837352,-2.038929617,-2.20688236
China,Cntry/Terr,1439323.774,153.312,7.121,214,7.82E-05,8.36E-05,0.000116453,365,0.000131312,0.000140332,0.00019552,7.666156509,74.90938816,79.34663026,77.0738965,-0.000193904,-0.000169292,-0.000181898
"China, Hong Kong SAR",Cntry/Terr,7496.988,7139.989,6.605,214,0.014560365,0.008932299,0.012445022,365,0.024943351,0.015301915,0.021319558,7.272679873,82.02414314,87.8065007,84.84480537,-0.038646714,-0.040584491,-0.039591971
"China, Taiwan Province of China",Cntry/Terr,23816.775,672.6,7.502,214,0.056001917,0.041345107,0.057604515,365,0.032834,0.024240693,0.033773606,8.125545804,77.93060805,83.28238351,80.54123023,-0.050966311,-0.042967563,-0.047064483
Colombia,Cntry/Terr,50882.884,45.861,5.525,214,2.607373387,3.349632569,4.666911624,365,2.185174881,2.807243868,3.911222729,8.027291596,70.48150929,76.68854375,73.50933098,-4.215425391,-3.470334473,-3.851966407
Comoros,Cntry/Terr,869.595,467.273,7.272,214,0.268709255,0.941521759,1.311785323,365,0.160994486,0.564103428,0.785943171,7.277335215,62.30959433,65.99761171,64.10862719,-0.443537458,-0.319986638,-0.383268765
Congo,Cntry/Terr,5518.092,16.158,6.754,214,0.021636559,0.083927071,0.116932295,365,0.022471535,0.0871659,0.121444829,6.68697802,63.11565554,66.10390831,64.57333982,-0.06687787,-0.046457585,-0.056916755
Costa Rica,Cntry/Terr,5094.114,99.767,5.046,214,0.952560793,1.059326786,1.475918445,365,0.959931403,1.067523518,1.487338629,6.368270659,75.88509864,81.22154378,78.48824261,-2.091262373,-1.798077768,-1.948245493
Cote d'Ivoire,Cntry/Terr,26378.275,82.951,10.155,214,0.012479294,0.048533342,0.067619601,365,0.008719296,0.0339103,0.047245891,9.824851466,56.75999735,59.3320111,58.0146382,-0.019925263,-0.013126442,-0.016608765
Croatia,Cntry/Terr,4105.268,73.361,13.134,214,1.804377515,1.054691721,1.46946059,365,1.977702796,1.156003524,1.61061435,15.30171656,73.92304657,80.28496748,77.02642262,-1.549158801,-1.416398167,-1.484397516
Cuba,Cntry/Terr,11326.616,106.413,8.913,214,0.406426295,0.295334592,0.411478098,365,0.243497263,0.176940237,0.246523889,9.722875855,76.65694982,80.63039533,78.59521592,-0.324326037,-0.264554785,-0.295169329
Curacao,Cntry/Terr,164.1,369.595,8.766,214,1.174489,0.832447739,1.159816771,365,0.767824497,0.544214349,0.758232499,10.09364711,74.96558308,80.88036516,77.85084263,-0.977984751,-0.867584297,-0.924130871
Cyprus,Cntry/Terr,1207.361,130.667,6.991,214,0.428040218,0.362002146,0.504363385,365,0.333785835,0.282289336,0.393302655,7.761239713,78.59529184,82.72043991,80.60755919,-0.494743681,-0.422776822,-0.459637896
Czechia,Cntry/Terr,10708.982,138.646,10.497,214,2.993299168,1.945449129,2.710517935,365,2.800919826,1.82041511,2.536312943,13.68907249,74.24831005,79.7991701,76.95604666,-2.647305855,-2.254409135,-2.455648918
Democratic Republic of the Congo,Cntry/Terr,89561.404,39.506,9.58,214,0.008512668,0.032523092,0.045313148,365,0.009189226,0.035107916,0.048914482,9.168918147,59.32066587,62.44861498,60.8464947,-0.028583305,-0.019730556,-0.024264891
Denmark,Cntry/Terr,5792.203,136.512,9.717,214,0.368966034,0.227403057,0.316831756,365,0.334242429,0.206002025,0.287014538,10.30192432,78.71499496,82.6330901,80.62626088,-0.392004965,-0.332606782,-0.363030241
Djibouti,Cntry/Terr,988.002,42.623,7.078,214,0.164000387,0.387253374,0.53954493,365,0.099190083,0.234217095,0.326325488,7.212711825,64.97419569,69.27716105,67.07320318,-0.230822911,-0.167268126,-0.199820577
Dominican Republic,Cntry/Terr,10847.904,224.501,6.127,214,0.243548061,0.355492167,0.495293287,365,0.259681502,0.379041161,0.528103177,6.614780681,70.51266965,76.92394082,73.640119,-0.63415202,-0.582440383,-0.608926831
Ecuador,Cntry/Terr,17643.06,71.038,5.099,214,1.701444737,2.523851235,3.516382894,365,1.472363638,2.184042011,3.042940035,6.732597621,71.1023964,77.05750484,74.00732734,-3.394970219,-2.939531425,-3.172804954
Egypt,Cntry/Terr,102334.403,102.802,5.833,214,0.148286297,0.333888425,0.465193642,365,0.114858734,0.258621347,0.360326974,5.889689791,69.61548825,74.30287907,71.90202036,-0.256627138,-0.207521356,-0.232673098
El Salvador,Cntry/Terr,6486.201,313.041,7.024,214,0.345528642,0.47468688,0.661362604,365,0.339489942,0.46639092,0.649804169,7.537430319,68.07306976,77.43196136,72.63838274,-0.61114779,-0.572098582,-0.592099396
Equatorial Guinea,Cntry/Terr,1402.985,50.017,9.434,214,0.044980863,0.193765687,0.269966129,365,0.051319152,0.22106936,0.308007265,8.945120193,57.86717572,60.14576769,58.978684,-0.142842081,-0.093161055,-0.118607434
Estonia,Cntry/Terr,1326.539,31.294,11.619,214,1.341045079,0.790890376,1.101916527,365,0.906871189,0.534833397,0.745162386,13.13249696,73.69309628,81.97083127,77.73101579,-0.777770059,-0.805964653,-0.79152352
Eswatini,Cntry/Terr,1160.164,67.451,9.42,214,0.871795051,2.708406783,3.773516896,365,0.653355905,2.029781612,2.828015074,9.939616419,55.11639687,63.66090165,59.28444798,-0.944106574,-1.104304065,-1.022251692
Ethiopia,Cntry/Terr,114963.583,114.964,6.662,214,0.036600579,0.120506088,0.167896404,365,0.035898324,0.118193942,0.164674981,6.414448805,64.84812145,68.74538324,66.74922476,-0.117682698,-0.084309158,-0.101402922
Finland,Cntry/Terr,5540.718,18.233,9.728,214,0.130520552,0.072318242,0.100758169,365,0.118396208,0.06560044,0.091398519,10.20486849,79.14150517,84.71288773,81.85925276,-0.133319398,-0.120430964,-0.127032357
France,Cntry/Terr,65273.512,119.209,9.269,214,1.236322509,0.674438109,0.939668154,365,1.253678521,0.683906153,0.952859608,10.89399298,78.45545907,84.24547406,81.27985663,-1.421131222,-1.344549858,-1.383774459
French Guiana,Cntry/Terr,298.682,3.634,2.924,214,0.650990861,1.36598319,1.903170779,365,0.475422021,0.997584647,1.389895545,3.580200854,75.72458681,81.61793144,78.59938907,-1.518549079,-1.547523121,-1.532682758
Gabon,Cntry/Terr,2225.728,8.638,6.909,214,0.076631443,0.237892676,0.331446531,365,0.051668488,0.160398322,0.223476689,6.80734705,64.33267635,68.6361892,66.43195091,-0.133805697,-0.099407056,-0.117025872
Gambia,Cntry/Terr,2416.664,238.801,7.994,214,0.062107706,0.273956875,0.381693364,365,0.084413886,0.372349357,0.518779748,7.661954052,60.7215504,63.65568152,62.15283388,-0.256677171,-0.174343381,-0.216514347
Georgia,Cntry/Terr,3989.175,57.406,12.848,214,1.431467367,1.209603495,1.685293086,365,1.462959133,1.236214336,1.722368927,14.0774722,68.31107457,77.02724882,72.56286689,-1.153873906,-1.201336744,-1.17702651
Germany,Cntry/Terr,83783.945,240.372,11.158,214,1.178173607,0.603246543,0.840479738,365,0.984938105,0.504306414,0.702630338,12.61666709,78.15458662,83.01197589,80.5240448,-0.980997604,-0.832891837,-0.908750888
Ghana,Cntry/Terr,31072.945,136.56,7.349,214,0.026786532,0.09143627,0.127394567,365,0.020854155,0.071186001,0.099180662,7.242186407,63.13390041,65.38010917,64.229612,-0.054633333,-0.035829735,-0.045460846
Greece,Cntry/Terr,10423.056,80.862,10.812,214,1.327431019,0.644450267,0.89788727,365,1.222961865,0.593731869,0.827223316,12.69362662,78.71916543,83.77038517,81.18317506,-1.268468967,-1.003050401,-1.138996496
Guadeloupe,Cntry/Terr,400.127,245.778,8.189,214,0.532833162,0.317386548,0.442202223,365,0.66478893,0.395987109,0.551713301,9.475981348,77.76225848,84.69702106,81.1450695,-0.877145139,-0.889201049,-0.883026071
Guam,Cntry/Terr,168.783,312.561,5.179,214,0.222317203,0.257975122,0.359426615,365,0.817617888,0.948757323,1.32186635,6.322867331,75.62930652,82.10116624,78.78631126,-1.42738862,-1.532956433,-1.478885114
Guatemala,Cntry/Terr,17915.567,167.185,4.753,214,0.533134222,1.178525537,1.641993387,365,0.477015324,1.05447131,1.4691535,5.297071069,69.9855852,76.07202099,72.95457827,-1.57973491,-1.26937471,-1.42833969
Guinea,Cntry/Terr,13132.792,53.446,8.539,214,0.019221344,0.080932631,0.112760259,365,0.013934585,0.058672412,0.081745969,8.16754533,61.01178705,62.35820711,61.66857732,-0.042152313,-0.026299456,-0.034419212
Guinea-Bissau,Cntry/Terr,1967.998,69.986,9.718,214,0.026866812,0.11321158,0.157733252,365,0.02540653,0.107058233,0.149160035,9.382509196,56.48778824,60.46991275,58.430288,-0.060050101,-0.044039455,-0.05224003
Guyana,Cntry/Terr,786.559,3.996,7.422,214,0.817502589,1.338842087,1.865356146,365,0.662378792,1.084792411,1.5113987,8.257958581,65.52583393,71.98625865,68.67726062,-1.455728445,-1.220909102,-1.341182424
Haiti,Cntry/Terr,11402.533,413.735,8.568,214,0.04622067,0.10412329,0.145070895,365,0.033676728,0.075865013,0.105699746,8.502419378,61.98787309,66.37580651,64.12832842,-0.076248961,-0.060577747,-0.068604466
Honduras,Cntry/Terr,9904.608,88.521,4.437,214,0.810044938,1.737895042,2.42134097,365,0.658481386,1.412725989,1.968295687,5.2268468,70.95994938,75.86734154,73.35379922,-2.165440736,-1.842114784,-2.007720759
Hungary,Cntry/Terr,9660.35,106.709,12.528,214,3.617487109,2.370252194,3.302379376,365,3.046473471,1.996112277,2.781104911,15.96318397,71.04556368,78.10261301,74.48802677,-2.318542302,-2.265395807,-2.292617183
Iceland,Cntry/Terr,341.25,3.404,6.699,214,0.004998117,0.003729841,0.005196642,365,0.058608059,0.043736222,0.060935962,7.047029653,81.58291009,84.52382349,83.01750199,-0.099421719,-0.077777908,-0.088863763
India,Cntry/Terr,1380004.385,464.149,7.237,214,0.341163669,0.616378489,0.858775963,365,0.282270842,0.509977148,0.71053115,7.722892144,68.07685704,70.77227458,69.39169486,-0.555133967,-0.387157901,-0.473194422
Indonesia,Cntry/Terr,273523.621,150.987,6.447,214,0.458852971,0.844276824,1.17629777,365,0.331470458,0.60989651,0.849744876,7.009397913,69.07234702,73.62520035,71.29325108,-0.629151549,-0.507132463,-0.569630044
Iran (Islamic Republic of),Cntry/Terr,83992.953,51.575,4.879,214,0.726426374,1.236792433,1.723174367,365,0.886110053,1.508665224,2.101964059,5.80619531,73.77954914,76.69484949,75.20164687,-1.953298548,-1.345792747,-1.656954255
Iraq,Cntry/Terr,40222.503,92.61,4.797,214,0.251075918,0.822684151,1.146213547,365,0.349630156,1.145610421,1.596134047,5.127620529,67.56726498,71.98757802,69.72351524,-1.076032931,-0.825101755,-0.953627479
Ireland,Cntry/Terr,4937.796,71.677,6.049,214,0.96648175,0.809842992,1.128322463,365,0.662643819,0.555248408,0.77360582,7.069127238,79.66878496,83.09393723,81.33959094,-1.153699943,-0.913061632,-1.036315401
Isle of Man,Cntry/Terr,85.032,149.179,NA,214,0.080233676,NA,1.233279394,365,0.058801392,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Israel,Cntry/Terr,8655.541,399.979,5.334,214,0.621113662,0.595181485,0.829243009,365,0.690540314,0.661709498,0.921933879,6.166156051,80.01862529,83.46527472,81.6999177,-1.489487646,-1.14259339,-1.320270936
Italy,Cntry/Terr,60461.828,205.555,10.474,214,1.520754441,0.72383695,1.00849362,365,1.537102054,0.73161796,1.019334596,12.46323835,79.92962233,84.31800694,82.07029775,-1.539966802,-1.340244066,-1.442541077
Jamaica,Cntry/Terr,2961.161,273.422,7.562,214,0.514937582,0.635924062,0.886008043,365,0.40051858,0.494621895,0.689137278,8.02890852,72.23762224,75.8038818,73.97726105,-0.727579817,-0.463272352,-0.598649346
Japan,Cntry/Terr,126476.458,346.934,10.427,214,0.160734542,0.064189113,0.089432172,365,0.112305485,0.044849037,0.062486404,11.7083418,81.48688939,87.66419729,84.50021032,-0.107240863,-0.114051647,-0.110563196
Jordan,Cntry/Terr,10203.14,114.926,3.858,214,1.038763053,2.766506219,3.854464562,365,0.983716777,2.619903138,3.65020824,4.958517855,70.15631451,74.26159769,72.15889167,-2.813921439,-2.190261887,-2.509697267
Kazakhstan,Cntry/Terr,18776.707,6.955,7.129,214,0.573722369,0.890683179,1.240953924,365,0.441184921,0.684923596,0.954277171,7.719278616,68.52094062,76.9527656,72.63402598,-0.664243613,-0.706260557,-0.684739683
Kenya,Cntry/Terr,53771.3,94.478,5.518,214,0.072193951,0.304457422,0.42418858,365,0.067340756,0.283990454,0.395672756,5.535716734,64.18809365,68.99334695,66.53211965,-0.23800463,-0.188151052,-0.213685811
Kuwait,Cntry/Terr,4270.563,239.65,2.666,214,0.556745521,1.291029223,1.798740358,365,0.44092547,1.022455765,1.424547498,3.516330306,73.69075375,75.98590845,74.81034141,-1.155292209,-0.732487348,-0.949045935
Kyrgyzstan,Cntry/Terr,6524.191,34.016,6.065,214,0.256199631,0.599751793,0.83561064,365,0.148830713,0.348405994,0.485420401,6.011394853,67.26733474,75.38177995,71.22560069,-0.260363735,-0.310949402,-0.28503967
Latvia,Cntry/Terr,1886.202,30.325,14.598,214,1.73707374,0.976111112,1.359977311,365,1.338668923,0.75223612,1.04806107,16.46474077,69.5001326,79.03728982,74.15240441,-0.87033145,-1.050416742,-0.958177934
Lebanon,Cntry/Terr,6825.442,667.199,4.308,214,1.609539391,2.409429453,3.356963515,365,1.150401688,1.722114865,2.399355069,5.807052587,74.76650651,78.84266452,76.75487627,-2.508021456,-2.12278596,-2.320101702
Liberia,Cntry/Terr,5057.677,52.509,7.599,214,0.021920041,0.075322717,0.104944186,365,0.014828942,0.050955937,0.070994908,7.406310981,62.8299368,65.69108372,64.22561822,-0.042698578,-0.028342479,-0.035695603
Libya,Cntry/Terr,6871.287,3.905,5.07,214,0.513820406,1.167509979,1.626645843,365,0.505727675,1.149121562,1.601025983,5.708153529,69.1019557,75.11994553,72.0375605,-1.15142746,-0.974895333,-1.065314228
Liechtenstein,Cntry/Terr,38.137,238.356,NA,214,0.89446337,NA,1.233279394,365,1.520832787,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Lithuania,Cntry/Terr,2722.291,43.436,13.564,214,1.853287145,1.01215211,1.410191819,365,1.592776085,0.869876899,1.21196535,16.14958012,69.40239413,80.0671396,74.60470899,-1.05016848,-1.350040432,-1.196447481
Luxembourg,Cntry/Terr,625.976,241.69,7.137,214,0.890982474,0.67262495,0.937141949,365,1.131033778,0.853845682,1.189629685,8.437347082,78.65692911,83.02915139,80.78972047,-1.671790525,-1.425990981,-1.551888308
Madagascar,Cntry/Terr,27691.019,47.596,6.129,214,0.042007277,0.148118424,0.206367588,365,0.030262519,0.106706195,0.148669555,5.946502671,65.60017182,68.92753503,67.22327582,-0.101802013,-0.071044513,-0.086798354
Malawi,Cntry/Terr,19129.955,202.906,6.772,214,0.131242034,0.571963084,0.796893722,365,0.081233855,0.354023517,0.493247075,6.480250878,61.11076223,67.44283317,64.19957732,-0.243450606,-0.211600396,-0.227913918
Malaysia,Cntry/Terr,32365.998,98.512,5.054,214,0.450721796,0.739365367,1.030128754,365,0.274979934,0.451077897,0.628469134,5.671380374,73.63189839,77.95787522,75.74213099,-0.719279964,-0.480515044,-0.602809271
Maldives,Cntry/Terr,540.542,1801.807,2.839,214,0.545878199,1.33327965,1.857606221,365,0.379248976,0.926296274,1.290572253,3.10509461,76.26493962,79.77309249,77.9762337,-1.519778556,-1.184557332,-1.356256008
Mali,Cntry/Terr,20250.834,16.596,9.821,214,0.022235152,0.103180522,0.143757373,365,0.020196699,0.093721237,0.130578121,9.243029491,58.74693444,60.37788573,59.54252044,-0.066648022,-0.039586794,-0.053447423
Malta,Cntry/Terr,441.539,1379.809,8.24,214,0.78802535,0.473771164,0.660086772,365,0.937629519,0.563715149,0.785402198,9.790293327,79.70691331,83.40432589,81.5105292,-1.166943254,-0.963637236,-1.067769587
Martinique,Cntry/Terr,375.265,354.024,9.066,214,0.281794635,0.147682177,0.205759783,365,0.237165736,0.124293184,0.173172816,10.04468823,79.09295907,85.45640713,82.19708007,-0.273695096,-0.278554833,-0.276065699
Mauritania,Cntry/Terr,4649.66,4.511,7.268,214,0.080701308,0.280816822,0.39125106,365,0.08817849,0.306835218,0.427501469,7.167345622,63.18072458,66.52423901,64.81170722,-0.257171763,-0.18206223,-0.220532966
Mauritius,Cntry/Terr,1271.767,626.486,8.299,214,0.012070188,0.012356615,0.017215986,365,0.007076768,0.0072447,0.010093756,8.877386604,71.7968432,78.56818485,75.09993669,-0.009598524,-0.009653014,-0.009625104
Mayotte,Cntry/Terr,272.813,727.501,2.685,214,0.743979538,1.894147546,2.639041453,365,0.494844454,1.259857779,1.755310408,3.325590018,74.2240039,81.0381579,77.54798146,-2.103719548,-2.033659065,-2.069543703
Mexico (Country),Cntry/Terr,128932.753,66.325,5.974,214,1.524298738,2.22895599,3.10551692,365,1.512680025,2.211966144,3.081845634,7.731805481,69.404838,75.54079222,72.3979864,-2.952047366,-2.458188302,-2.711140505
Monaco,Cntry/Terr,39.244,26338.255,NA,214,1.303848341,NA,1.233279394,365,0.738966466,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Montenegro,Cntry/Terr,628.062,46.696,10.703,214,2.574452662,2.121447467,2.955729513,365,2.520451803,2.076948693,2.893731118,13.36958107,72.15643831,77.40069457,74.7146121,-2.432699934,-2.016817697,-2.22983055
Montserrat,Cntry/Terr,4.999,49.99,NA,214,0,NA,1.233279394,365,0,0.910340618,1.268341862,NA,NA,NA,NA,NA,NA,NA
Morocco,Cntry/Terr,36910.558,82.703,5.059,214,0.112981502,0.18155218,0.252949529,365,0.257026729,0.413021267,0.575446325,5.45618327,75.05853195,77.69955465,76.34683571,-0.556934201,-0.394511408,-0.47770357
Mozambique,Cntry/Terr,31255.435,39.746,8.622,214,0.070722653,0.298358817,0.415691632,365,0.046423926,0.195849378,0.272869253,8.202556648,57.90090719,63.78652533,60.77194043,-0.117161131,-0.101214957,-0.10938251
Myanmar,Cntry/Terr,54409.794,83.286,8.19,214,0.220968069,0.435451682,0.606697742,365,0.178736203,0.352227273,0.490744439,8.601216033,63.87263205,70.04174771,66.88195677,-0.284359855,-0.232236459,-0.258933808
Nepal,Cntry/Terr,29136.808,203.256,6.39,214,0.469415399,1.007042805,1.403073225,365,0.337133704,0.723257208,1.007685888,6.709365745,68.74418764,71.94534875,70.30572965,-0.726677111,-0.519512204,-0.625621059
Netherlands,Cntry/Terr,17134.873,508.152,8.715,214,0.656168533,0.397103366,0.553268538,365,0.697466506,0.42209628,0.588090185,9.861800083,79.88481834,83.36819322,81.5840256,-0.8766205,-0.692368848,-0.786741645
