LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2022,CCDR_2022,CCMR_2022,ISCDR_2022,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
WWW,World,Global,7794798.729,59.917,7.546,59,0.413519674,0.527895434,0.694242333,365,0.439270098,0.56076819,0.737473733,8.174005077,69.58621024,74.48977252,71.97819184,-0.773710466,-0.667743964,-0.722019489
AFG,Afghanistan,Cntry/Terr,38928.341,59.627,6.517,59,0.037663728,0.141213786,0.185712135,365,0.132294361,0.496015361,0.652316423,6.384996771,63.21237699,66.36686354,64.75115091,-0.438540181,-0.323478727,-0.382412642
ALB,Albania,Cntry/Terr,2877.8,105.029,7.821,59,0.541727379,0.472564129,0.621475395,365,0.579609424,0.50560971,0.664934079,9.033392779,76.25585832,79.6826253,77.92745197,-0.843516322,-0.60826651,-0.728760316
DZA,Algeria,Cntry/Terr,43851.043,18.411,4.719,59,0.079003977,0.129357883,0.170120279,365,0.087751619,0.143680914,0.188956689,4.949026567,75.58104047,78.12201057,76.82053808,-0.261134501,-0.177153462,-0.220168141
AND,Andorra,Cntry/Terr,77.265,164.394,NA,59,0.880746101,NA,2.072595258,365,0.530641299,1.171839931,1.541102337,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,Cntry/Terr,32866.268,26.363,8.332,59,0.025411145,0.106269744,0.139756759,365,0.042323029,0.176995466,0.232769101,7.902111694,58.51330714,64.15156064,61.2636747,-0.124302425,-0.106134765,-0.115440152
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.564,6.344,59,1.01077374,1.238859171,1.629240234,365,1.235601667,1.514420483,1.991634594,7.808299848,73.5944876,76.65069445,75.08532021,-2.369981855,-1.593473424,-1.991197254
ARG,Argentina,Cntry/Terr,45195.777,16.515,7.612,59,1.228369603,1.346714993,1.771082866,365,1.640750639,1.798826249,2.365660414,9.317008097,71.01061132,77.78691609,74.31612584,-2.393639235,-2.31960356,-2.357524271
ARM,Armenia,Cntry/Terr,2963.234,104.083,9.905,59,1.004199454,1.04193068,1.370256947,365,1.774075216,1.840733321,2.420772965,11.23249159,69.38638804,76.67486052,72.94174047,-2.077975431,-1.922835228,-2.002297283
ABW,Aruba,Cntry/Terr,106.766,593.144,8.974,59,1.738317632,1.575982221,2.072595258,365,1.292546316,1.171839931,1.541102337,10.81497711,72.38974887,77.43167208,74.84922361,-1.51799703,-1.333768553,-1.42812948
