Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Isle of Man,Cntry/Terr,85.032,149.179,NA,244,0.228698858,NA,1.719995543,365,0.164643899,1.151152054,1.576537081,NA,NA,NA,NA,NA,NA,NA
Israel,Cntry/Terr,8655.541,399.979,5.334,244,0.642566686,0.626408216,0.857884739,365,0.699898481,0.682298302,0.93442788,6.177249395,79.99721653,83.44837517,81.68070855,-1.510896408,-1.159492948,-1.339480086
Italy,Cntry/Terr,60461.828,205.555,10.474,244,1.362303106,0.659654168,0.903416063,365,1.549969677,0.750526042,1.027867805,12.48055769,79.91499147,84.30488189,82.05640143,-1.554597666,-1.353369115,-1.456437398
Abruzzo,Italy,1314.662443,121.4633779,11.2,244,1.497423592,0.680508913,0.931977259,365,1.5646602,0.711064803,0.973824462,13.3223722,78.47078063,84.48039252,81.40229863,-1.461408973,-1.306310092,-1.385750983
Basilicata,Italy,564.2859478,56.07689301,11.1,244,0.909280595,0.42499005,0.582036552,365,1.011898315,0.472952703,0.647722837,12.66090314,77.78743297,84.68199035,81.15063169,-0.966283096,-0.877056119,-0.922757742
Bolzano (Provincia autonoma di),Italy,531.1911956,71.77974944,8.3,244,1.25599245,0.688789329,0.943317535,365,1.681127261,0.921934299,1.262616526,10.65642532,78.46060358,84.75249125,81.52981708,-2.010905072,-1.750136356,-1.88370082
Calabria,Italy,1949.986623,128.1470989,10.1,244,0.646694222,0.329409624,0.451136308,365,0.624619669,0.318165408,0.435737018,11.38439463,78.44891716,84.63872653,81.46833637,-0.666995649,-0.578149786,-0.623656203
Campania,Italy,5801.772904,424.5346976,9.2,244,1.26261928,0.769232828,1.053487307,365,1.257374275,0.766037383,1.04911105,10.9532565,76.93015792,82.98793866,79.88517292,-1.411586192,-1.229951053,-1.322983685
Emilia-Romagna,Italy,4468.697467,164.4931943,11.2,244,1.884983755,0.843083828,1.154628454,365,1.992974478,0.891384102,1.22077712,13.57880008,78.95689759,84.38181242,81.60319751,-1.877083976,-1.645555134,-1.764143077
Friuli-Venezia Giulia,Italy,1218.961536,155.1478388,11.9,244,2.649510706,1.128406219,1.545385981,365,2.831918726,1.206092391,1.651779511,15.05966726,78.40240804,83.723626,80.99812412,-2.433598987,-2.193502971,-2.316478979
Lazio,Italy,5885.980142,341.7079017,9.7,244,1.206687894,0.615464617,0.842897154,365,1.297659832,0.66186436,0.906442986,11.61290569,78.81120873,84.38783178,81.53151266,-1.378774552,-1.215609413,-1.299181801
Liguria,Italy,1557.701965,192.215632,14.3,244,1.434726988,0.54149026,0.741587066,365,1.805865347,0.681564162,0.933422453,16.49696661,78.60212603,84.21379847,81.33952722,-1.369957986,-1.229407921,-1.301396979
Lombardia,Italy,10073.68575,422.2248067,9.9,244,1.305873475,0.641514492,0.878573235,365,1.692230671,0.831313692,1.138508902,12.16183204,78.81815247,84.55722494,81.61770002,-1.712778644,-1.554017081,-1.635333979
Marche,Italy,1529.183236,162.6748442,11.2,244,1.442897663,0.621490945,0.851150391,365,1.34581648,0.57967573,0.793883206,13.23127685,79.8914899,85.22653555,82.49395119,-1.264779035,-1.110341226,-1.189443518
Molise,Italy,306.5562812,68.83074598,12.1,244,1.483427763,0.640022575,0.87653001,365,1.539684648,0.664294519,0.909771162,14.15415501,78.73974737,84.58076133,81.58902247,-1.354121585,-1.252646929,-1.304621753
Piemonte,Italy,4369.051871,172.3478019,12.3,244,1.299354388,0.561863059,0.769488221,365,1.732412483,0.749124785,1.025948742,14.5478253,78.27272999,84.0686641,81.10001492,-1.480711618,-1.302727815,-1.393890251
