LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
ES04,Balears (Illes),Spain,1137.723314,227.9093177,6.7,302,0.559834784,0.334130647,0.52524312,365,0.573074307,0.342032497,0.537664585,8.065253992,80.33560786,85.37323282,82.79298589,-0.899835699,-0.785523432,-0.844073618
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.351,8.469,302,0.671301703,0.393938367,0.61925902,365,0.574586059,0.337182957,0.530041258,9.892593915,77.43851593,82.54834981,79.93111783,-0.70375783,-0.660860477,-0.682832292
CYP,Cyprus,Cntry/Terr,1207.361,130.667,6.991,302,0.45346835,0.333846812,0.52479694,365,0.453054223,0.333541929,0.524317674,7.883249933,78.37468033,82.54219865,80.40761609,-0.715355196,-0.601018083,-0.659580994
MX07,Chiapas,Mexico,5412.678969,73.8003337,4.528434843,302,0.237582955,0.355126439,0.558247861,365,0.221516925,0.331111786,0.520497564,5.747078443,70.99952584,76.54904699,73.70660933,-0.616731156,-0.498701006,-0.559155473
REU,Reunion,Cntry/Terr,895.308,358.123,6.21,302,0.448179038,0.35773153,0.562342983,365,0.396511592,0.316491148,0.497514369,6.785260543,76.83365506,83.09705958,79.88897434,-0.796373437,-0.713878371,-0.756131941
IT18,Calabria,Italy,1949.986623,128.1470989,10.1,302,0.603688977,0.275296971,0.432758387,365,0.687697025,0.3136067,0.492980105,11.45108486,78.31395186,84.53459641,81.34841262,-0.801960951,-0.682279907,-0.743579954
GMB,Gambia,Cntry/Terr,2416.664,238.801,7.994,302,0.108024782,0.365380484,0.574366905,365,0.091448377,0.30931284,0.486230289,7.669642964,60.6981809,63.63134346,62.1289919,-0.280046673,-0.198681448,-0.240356319
BRB,Barbados,Cntry/Terr,287.371,668.305,8.98,302,0.605627343,0.365757798,0.57496003,365,0.501094404,0.302627,0.475720354,9.713066558,77.1752818,80.03675965,78.57112465,-0.803259601,-0.561918849,-0.685532405
QAT,Qatar,Cntry/Terr,2881.06,248.153,1.191,302,0.152698581,0.344533808,0.541596569,365,0.132242994,0.298379866,0.469043989,1.503670416,78.57570273,81.51109941,80.00760355,-0.751916193,-0.627814615,-0.691378838
CAN,Canada,Cntry/Terr,37742.157,4.15,7.712,302,0.42747226,0.247637839,0.389279081,365,0.505138061,0.292630211,0.460005708,8.550058113,79.8768531,83.84308926,81.81160244,-0.769512286,-0.646818332,-0.709661577
SEN,Senegal,Cntry/Terr,16743.93,86.968,5.806,302,0.105963081,0.314629128,0.494587331,365,0.092988922,0.276105821,0.434029874,5.641654494,65.66636663,69.91878328,67.74071622,-0.307001114,-0.229675945,-0.269281519
RWA,Rwanda,Cntry/Terr,12952.209,525.019,5.317,302,0.115241535,0.317817659,0.499599604,365,0.099828531,0.275311067,0.432780546,5.345860432,66.66914534,71.06757355,68.81472007,-0.336355771,-0.262515935,-0.300336339
BRN,Brunei Darussalam,Cntry/Terr,437.483,83.014,4.403,302,0.221011426,0.32890502,0.517028595,365,0.182864248,0.272135113,0.427788043,4.938337589,74.32317826,76.90631212,75.58324356,-0.525992694,-0.348125805,-0.439228358
BLR,Belarus,Cntry/Terr,9449.321,46.569,12.554,302,0.403666132,0.280139435,0.440370592,365,0.384683725,0.266965873,0.419662157,13.05333733,69.39381193,79.23162283,74.19274408,-0.329532393,-0.384197644,-0.356198369
ES06,Cantabria,Spain,579.7329059,108.9518711,10.33,302,0.452394903,0.192342702,0.302356823,365,0.624425483,0.265484169,0.417332963,11.83074914,80.11258978,86.13209707,83.0489348,-0.676926081,-0.661527397,-0.669414528
US50,Vermont,U.S.A.,634.3248119,26.47896592,9.63,302,0.426797867,0.233998972,0.367839201,365,0.476096779,0.261027914,0.410327868,10.62766685,76.25303745,81.3794429,78.75372304,-0.588201891,-0.492390164,-0.541464463
KEN,Kenya,Cntry/Terr,53771.3,94.478,5.518,302,0.080916648,0.257953219,0.405494542,365,0.081828038,0.260858628,0.410061756,5.55061849,64.1438512,68.95353951,66.49004062,-0.282247081,-0.227958493,-0.255764843
US15,Hawaii,U.S.A.,1439.609391,86.53318852,7.98,302,0.506242454,0.275595665,0.433227925,365,0.475823515,0.259035758,0.40719626,8.899137981,78.26908604,84.59514922,81.35497052,-0.74641479,-0.729779606,-0.738300066
ES12,Galicia,Spain,2697.559136,91.21079075,11.57,302,0.56856035,0.211896478,0.333094758,365,0.666528483,0.248408174,0.390490023,13.69023967,79.93944694,85.88256045,82.8385267,-0.652847173,-0.601084072,-0.62759688
SYR,Syrian Arab Republic,Cntry/Terr,17500.657,95.304,5.522,302,0.126450314,0.233509154,0.367069222,365,0.130395105,0.240793791,0.378520448,5.159190916,69.00105466,78.06157227,73.42081935,-0.341710336,-0.316693123,-0.329506817
DJI,Djibouti,Cntry/Terr,988.002,42.623,7.078,302,0.146794351,0.274179757,0.431002161,365,0.121457244,0.226855579,0.356610007,7.23568353,64.92097478,69.23382351,67.02480343,-0.284043821,-0.210605667,-0.248220331
SOM,Somalia,Cntry/Terr,15893.219,25.334,10.935,302,0.08197715,0.260673602,0.4097709,365,0.069589427,0.221282718,0.34784964,10.62142519,55.75151445,59.23668793,57.45159907,-0.197797532,-0.14315576,-0.171143009
DOM,Dominican Republic,Cntry/Terr,10847.904,224.501,6.127,302,0.190518081,0.235541824,0.370264516,365,0.176255247,0.217908358,0.34254525,6.532973065,70.7021031,77.10740706,73.82664162,-0.444718568,-0.398974144,-0.422404215
EGY,Egypt,Cntry/Terr,102334.403,102.802,5.833,302,0.128166359,0.232007429,0.364708556,365,0.120360305,0.217876869,0.34249575,5.896102112,69.5946647,74.28361115,71.88195565,-0.27745069,-0.226789278,-0.252737806
BGD,Bangladesh,Cntry/Terr,164689.383,1265.187,5.548,302,0.148887952,0.235674652,0.370473318,365,0.134192014,0.212412461,0.333905868,5.765747809,70.79299019,74.5562885,72.62874547,-0.33928254,-0.286379666,-0.31347626
THA,Thailand,Cntry/Terr,69799.978,136.624,7.608,302,0.328004193,0.254933608,0.400747805,365,0.271447077,0.210975909,0.331647652,8.442622671,73.20802627,80.58173272,76.80495624,-0.425235056,-0.396682007,-0.411306739
ES05,Canarias,Spain,2136.112961,286.8420788,7.05,302,0.337781638,0.200319111,0.314895494,365,0.349232467,0.207109948,0.32557048,8.316889415,79.57117013,84.73587461,82.09053817,-0.528109969,-0.457082448,-0.493462398
PAK,Pakistan,Cntry/Terr,220892.331,286.546,6.983,302,0.099881975,0.204465668,0.321413754,365,0.098310339,0.201248416,0.316356332,7.035838691,66.16871801,68.273693,67.19553508,-0.267665605,-0.171103463,-0.220562121
GAB,Gabon,Cntry/Terr,2225.728,8.638,6.909,302,0.092855994,0.225569431,0.354588222,365,0.081321707,0.197549888,0.310542359,6.837440403,64.25334149,68.57254029,66.36026773,-0.213140565,-0.163055968,-0.188709054
MOZ,Mozambique,Cntry/Terr,31255.435,39.746,8.622,302,0.068173044,0.223296831,0.351015763,365,0.059125717,0.193662838,0.304432037,8.21567134,57.86588409,63.75308754,60.73769065,-0.152184238,-0.134652748,-0.143632292
DNK,Denmark,Cntry/Terr,5792.203,136.512,9.717,302,0.294838579,0.1619284,0.254546474,365,0.348226746,0.191249734,0.300638711,10.31858891,78.66406064,82.59714152,80.58263668,-0.44293929,-0.368555366,-0.406654449
